gvkey,fyear,datadate,at,isin,conm,fic,sic
001166,2005,20051231,812.3080,NL0000334118,ASM INTERNATIONAL NV,NLD,3559
001166,2006,20061231,832.2970,NL0000334118,ASM INTERNATIONAL NV,NLD,3559
001166,2007,20071231,840.3330,NL0000334118,ASM INTERNATIONAL NV,NLD,3559
001166,2008,20081231,767.7980,NL0000334118,ASM INTERNATIONAL NV,NLD,3559
001166,2009,20091231,851.7000,NL0000334118,ASM INTERNATIONAL NV,NLD,3559
001166,2010,20101231,1214.1170,NL0000334118,ASM INTERNATIONAL NV,NLD,3559
001166,2011,20111231,1582.2210,NL0000334118,ASM INTERNATIONAL NV,NLD,3559
001166,2012,20121231,1499.5060,NL0000334118,ASM INTERNATIONAL NV,NLD,3559
001166,2013,20131231,1551.2490,NL0000334118,ASM INTERNATIONAL NV,NLD,3559
001166,2014,20141231,1826.9330,NL0000334118,ASM INTERNATIONAL NV,NLD,3559
001166,2015,20151231,2075.9770,NL0000334118,ASM INTERNATIONAL NV,NLD,3559
001166,2016,20161231,2148.2630,NL0000334118,ASM INTERNATIONAL NV,NLD,3559
001166,2017,20171231,2177.2020,NL0000334118,ASM INTERNATIONAL NV,NLD,3559
001166,2018,20181231,1847.9720,NL0000334118,ASM INTERNATIONAL NV,NLD,3559
001166,2019,20191231,2175.1390,NL0000334118,ASM INTERNATIONAL NV,NLD,3559
002410,2005,20051231,206914.0000,GB0007980591,BP PLC,GBR,2911
002410,2006,20061231,217601.0000,GB0007980591,BP PLC,GBR,2911
002410,2007,20071231,236076.0000,GB0007980591,BP PLC,GBR,2911
002410,2008,20081231,228238.0000,GB0007980591,BP PLC,GBR,2911
002410,2009,20091231,235968.0000,GB0007980591,BP PLC,GBR,2911
002410,2010,20101231,272262.0000,GB0007980591,BP PLC,GBR,2911
002410,2011,20111231,293068.0000,GB0007980591,BP PLC,GBR,2911
002410,2012,20121231,300193.0000,GB0007980591,BP PLC,GBR,2911
002410,2013,20131231,305690.0000,GB0007980591,BP PLC,GBR,2911
002410,2014,20141231,284305.0000,GB0007980591,BP PLC,GBR,2911
002410,2015,20151231,261832.0000,GB0007980591,BP PLC,GBR,2911
002410,2016,20161231,263316.0000,GB0007980591,BP PLC,GBR,2911
002410,2017,20171231,276515.0000,GB0007980591,BP PLC,GBR,2911
002410,2018,20181231,282176.0000,GB0007980591,BP PLC,GBR,2911
002410,2019,20191231,295194.0000,GB0007980591,BP PLC,GBR,2911
002411,2004,20050331,26950.0000,GB0030913577,BT GROUP PLC,GBR,4813
002411,2005,20060331,24700.0000,GB0030913577,BT GROUP PLC,GBR,4813
002411,2006,20070331,24155.0000,GB0030913577,BT GROUP PLC,GBR,4813
002411,2007,20080331,29352.0000,GB0030913577,BT GROUP PLC,GBR,4813
002411,2008,20090331,29274.0000,GB0030913577,BT GROUP PLC,GBR,4813
002411,2009,20100331,28680.0000,GB0030913577,BT GROUP PLC,GBR,4813
002411,2010,20110331,23540.0000,GB0030913577,BT GROUP PLC,GBR,4813
002411,2011,20120331,23948.0000,GB0030913577,BT GROUP PLC,GBR,4813
002411,2012,20130331,24826.0000,GB0030913577,BT GROUP PLC,GBR,4813
002411,2013,20140331,24898.0000,GB0030913577,BT GROUP PLC,GBR,4813
002411,2014,20150331,27191.0000,GB0030913577,BT GROUP PLC,GBR,4813
002411,2015,20160331,42592.0000,GB0030913577,BT GROUP PLC,GBR,4813
002411,2016,20170331,42372.0000,GB0030913577,BT GROUP PLC,GBR,4813
002411,2017,20180331,42759.0000,GB0030913577,BT GROUP PLC,GBR,4813
002411,2018,20190331,46287.0000,GB0030913577,BT GROUP PLC,GBR,4813
002721,2005,20051231,4043553.0000,JP3242800005,CANON INC,JPN,3577
002721,2006,20061231,4521915.0000,JP3242800005,CANON INC,JPN,3577
002721,2007,20071231,4512625.0000,JP3242800005,CANON INC,JPN,3577
002721,2008,20081231,3969934.0000,JP3242800005,CANON INC,JPN,3577
002721,2009,20091231,3847557.0000,JP3242800005,CANON INC,JPN,3577
002721,2010,20101231,3983820.0000,JP3242800005,CANON INC,JPN,3577
002721,2011,20111231,3930727.0000,JP3242800005,CANON INC,JPN,3577
002721,2012,20121231,3955503.0000,JP3242800005,CANON INC,JPN,3577
002721,2013,20131231,4242710.0000,JP3242800005,CANON INC,JPN,3577
002721,2014,20141231,4460618.0000,JP3242800005,CANON INC,JPN,3577
002721,2015,20151231,4427773.0000,JP3242800005,CANON INC,JPN,3577
002721,2016,20161231,5138529.0000,JP3242800005,CANON INC,JPN,3577
002721,2017,20171231,5198291.0000,JP3242800005,CANON INC,JPN,3577
002721,2018,20181231,4899465.0000,JP3242800005,CANON INC,JPN,3577
002721,2019,20191231,4768351.0000,JP3242800005,CANON INC,JPN,3577
004439,2005,20051231,208829.0000,SE0000108656,TELEFONAKTIEBOLAGET LM ERICS,SWE,3663
004439,2006,20061231,214940.0000,SE0000108656,TELEFONAKTIEBOLAGET LM ERICS,SWE,3663
004439,2007,20071231,245117.0000,SE0000108656,TELEFONAKTIEBOLAGET LM ERICS,SWE,3663
