,gvkey,datadate,fyear,tic,cusip,conm,at,ni,sale,cik,Change_in_Sales,Change_in_Assets,Change_in_NI,ROA,Profit_Margin
528,10860,20051231,2005,AEE,23608102,AMEREN CORP,18162,619,6780,1002910,0,0,0,3.408214954,9.12979351
529,10860,20061231,2006,AEE,23608102,AMEREN CORP,19578,558,6880,1002910,1.474926254,7.796498183,-9.8546042,2.85013791,8.110465116
530,10860,20071231,2007,AEE,23608102,AMEREN CORP,20728,629,7546,1002910,9.680232558,5.873940137,12.72401434,3.034542648,8.335542009
531,10860,20081231,2008,AEE,23608102,AMEREN CORP,22657,615,7839,1002910,3.882851842,9.306252412,-2.225755167,2.714392903,7.845388442
532,10860,20091231,2009,AEE,23608102,AMEREN CORP,23790,612,7090,1002910,-9.554790152,5.000662047,-0.487804878,2.572509458,8.631875882
533,10860,20101231,2010,AEE,23608102,AMEREN CORP,23515,139,7638,1002910,7.729196051,-1.155947877,-77.2875817,0.591112056,1.819848128
534,10860,20111231,2011,AEE,23608102,AMEREN CORP,23645,519,7531,1002910,-1.400890285,0.552838614,273.381295,2.194967224,6.891515071
535,10860,20121231,2012,AEE,23608102,AMEREN CORP,21835,-974,6828,1002910,-9.334749701,-7.654895327,-287.6685934,-4.460728189,-14.26479203
536,10860,20131231,2013,AEE,23608102,AMEREN CORP,21042,289,5838,1002910,-14.49912127,-3.631783833,-129.6714579,1.373443589,4.950325454
537,10860,20141231,2014,AEE,23608102,AMEREN CORP,22676,586,6053,1002910,3.682768071,7.765421538,102.7681661,2.584230023,9.681149843
538,10860,20151231,2015,AEE,23608102,AMEREN CORP,23640,630,6098,1002910,0.743433008,4.251190686,7.508532423,2.664974619,10.33125615
539,10860,20161231,2016,AEE,23608102,AMEREN CORP,24699,653,6076,1002910,-0.360774024,4.479695431,3.650793651,2.643831734,10.74720211
540,10860,20171231,2017,AEE,23608102,AMEREN CORP,25945,523,6177,1002910,1.662277814,5.044738653,-19.90811639,2.015802659,8.466893314
541,10860,20181231,2018,AEE,23608102,AMEREN CORP,27215,815,6291,1002910,1.845556095,4.894970129,55.83173996,2.994672056,12.9550151
