,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AEE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,current
12 Months Ending,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,2/10/2021
Environmental Disclosure Score,,,9.66,9.66,12.41,12.41,12.41,20,24.83,35.86,41.38,41.38,41.38,41.38,42.76,42.76
GHG Scope 1,,,,,,,,,32978,30675,28548.2,26795.6,30200.4,29588,24413.7,
Total Energy Consumption,,,,,,,,,,,2717.2,2444.5,44392.9,45911.3,38864.2,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AEP,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,current
12 Months Ending,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,2/10/2021
Environmental Disclosure Score,,15.17,24.14,27.59,28.28,32.41,38.62,33.1,48.97,48.97,46.21,53.79,55.17,55.17,54.48,54.48
GHG Scope 1,,,,,,,,,120807,130319,108611,99166.6,78760.4,75361.2,64776.3,
Total Energy Consumption,,,,,,,,,3773309,422634,341466,317362,237034,244430,212645,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AES,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,current
12 Months Ending,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,2/10/2021
Environmental Disclosure Score,,,3.1,3.1,8.53,8.53,19.38,25.58,29.46,51.16,48.84,43.41,45.74,43.41,49.61,49.61
GHG Scope 1,,,,,,,61186,80854,75449,74972.9,68634.1,70273,63497,54154,49092,
Total Energy Consumption,,,,,,,,,,247819,211662,,,,61377,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
APA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,current
12 Months Ending,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,2/10/2021
Environmental Disclosure Score,,,1.65,7.44,18.18,28.93,33.88,31.4,28.1,33.88,36.36,38.84,38.84,41.32,41.32,41.32
GHG Scope 1,,,,90999.8,10985,9860,11760,10766,8400,7100,6590,6860,6150,3410,6550,
Total Energy Consumption,,,,,29536.2,30400,25200,10852.6,10738,5400,4970,3424,2759,3353,4710,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ATO,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12 Months Ending,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,9/30/2020
Environmental Disclosure Score,,,,1.38,1.38,1.38,1.38,1.38,1.38,1.38,4.83,4.83,4.83,4.83,8.97,
GHG Scope 1,,,,,,,,,,,,,,,,
Total Energy Consumption,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AWK,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
12 Months Ending,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,
Environmental Disclosure Score,,,,14.48,17.93,13.79,14.48,25.52,22.76,24.14,27.59,40.69,40.69,38.62,,
GHG Scope 1,,,,65.9,64.5,,,62.8,64.8,66.4,54,52.5,55.9,60.9,,
Total Energy Consumption,,,,,,,,1348.4,1322,1323.2,1298.4,1284.9,1311.9,1363.2,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BKR,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,current
12 Months Ending,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,2/10/2021
Environmental Disclosure Score,,,,,,,,,,,,,37.98,42.64,51.16,51.16
