,,,,,,,,,,,,,,,,
DTE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,current
12 Months Ending,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,2/10/2021
Environmental Disclosure Score,,,12.41,8.28,13.79,30.34,30.34,30.34,39.41,47.59,47.59,55.86,58.62,64.83,60.69,60.69
GHG Scope 1,,,43600,41800,,39920,,,,35600,33900,32000,31857,34246,30714,
Total Energy Consumption,,,,,,,,,,118000,103673,93087,102600,108380,108308,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DUK,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,current
12 Months Ending,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,2/10/2021
Environmental Disclosure Score,,22.76,31.72,41.38,53.79,56.55,57.93,59.31,65.52,57.93,62.76,55.17,53.79,57.93,58.62,58.62
GHG Scope 1,,,,,,,143835,135939,124472,125893,101131,98115.6,96543.4,96547.1,85517.5,
Total Energy Consumption,,,342779,327939,406069,425409,449849,456003,416088,460691,374656,355868,341500,380260,334020,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DVN,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,current
12 Months Ending,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,2/10/2021
Environmental Disclosure Score,,,9.92,9.92,4.13,4.13,19.01,19.01,19.01,23.97,26.45,28.93,36.36,36.36,36.36,36.36
GHG Scope 1,,,3680,3680,,,7232.9,7596.7,7644.6,5925.4,6065.8,5381.1,5368.9,5647.5,2610,
Total Energy Consumption,,,,,,,,,,10223.4,11278.2,18165.9,26062.3,21533.4,8295.6,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ED,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,current
12 Months Ending,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,2/10/2021
Environmental Disclosure Score,,17.93,6.21,6.21,27.59,44.14,51.03,57.93,62.76,62.76,59.31,44.14,37.24,37.24,40,40
GHG Scope 1,,,,,3735.6,3265.2,3370.5,3314.4,3361.5,3157.2,3137.1,3093,3015,3068,2907,
Total Energy Consumption,,,,,,21148.9,18962.8,14650.6,15276.8,14390.2,14467.5,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
EIX,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,current
12 Months Ending,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,2/10/2021
Environmental Disclosure Score,,,7.59,7.59,7.59,7.59,25.52,25.52,25.52,27.59,27.59,27.59,33.1,36.55,44.14,44.14
GHG Scope 1,,,,,,,5715.3,7200,6200,2400,2400,2400,1900,1100,1400,
Total Energy Consumption,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
EOG,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,current
12 Months Ending,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,2/10/2021
Environmental Disclosure Score,,,1.65,6.61,6.61,6.61,7.44,9.09,9.09,15.7,15.7,17.36,30.58,30.58,34.71,34.71
GHG Scope 1,,,,,,,,,,,,,3300,5405.6,5300,
Total Energy Consumption,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ES,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,current
12 Months Ending,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,2/10/2021
Environmental Disclosure Score,,,,15.17,15.17,25.52,27.59,31.03,42.07,45.52,53.1,53.1,54.48,53.1,59.31,59.31
GHG Scope 1,,,,,,,,1711,1962,1799.2,1623.3,852.6,713.4,169.4,128.8,
Total Energy Consumption,,,,,,,,,6487.7,6936.5,6750.2,4169.4,3170,603.8,374.7,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ETR,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,current
12 Months Ending,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,2/10/2021
Environmental Disclosure Score,12.41,16.55,24.14,25.52,38.62,37.24,33.79,33.79,35.17,37.24,35.86,33.79,36.55,38.62,40,40
GHG Scope 1,,,32600,33187,30409.2,34000,34800,34800,34200,34185.3,31843.3,35200,33100,36500,34400,
Total Energy Consumption,,,,,42640.8,7138.3,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
EVRG,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,current
12 Months Ending,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,2/10/2021
Environmental Disclosure Score,,,,,,,,,,,,,,26.21,27.59,27.59
GHG Scope 1,,,,,,,,,,,,,,29742.9,26499.4,
Total Energy Consumption,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
EXC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,current
12 Months Ending,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,2/10/2021
Environmental Disclosure Score,14.48,22.76,26.21,28.28,42.07,43.45,43.45,46.9,48.28,60.69,55.86,58.62,64.14,59.31,49.66,
GHG Scope 1,,,,,8893,9268,6600,22497,18697,16786,7677,9723,10200,9526,9395,
Total Energy Consumption,,,,,,,,,,88591.3,64944.5,82392.5,72702.2,75006.7,66356.9,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
FANG,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,current
12 Months Ending,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,2/10/2021
Environmental Disclosure Score,,,,,,,,,,,3.88,13.95,24.03,24.03,26.36,26.36
