Year,12 Months Ending,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Ticker
2005,12/31/05,,,,AEE
2006,12/31/06,,,,AEE
2007,12/31/07,9.66,,,AEE
2008,12/31/08,9.66,,,AEE
2009,12/31/09,12.41,,,AEE
2010,12/31/10,12.41,,,AEE
2011,12/31/11,12.41,,,AEE
2012,12/31/12,20,,,AEE
2013,12/31/13,24.83,32978,,AEE
2014,12/31/14,35.86,30675,,AEE
2015,12/31/15,41.38,28548.2,2717.2,AEE
2016,12/31/16,41.38,26795.6,2444.5,AEE
2017,12/31/17,41.38,30200.4,44392.9,AEE
2018,12/31/18,41.38,29588,45911.3,AEE
2019,12/31/19,42.76,24413.7,38864.2,AEE
current,2/10/21,42.76,,,AEE
2005,12/31/05,,,,AEP
2006,12/31/06,15.17,,,AEP
2007,12/31/07,24.14,,,AEP
2008,12/31/08,27.59,,,AEP
2009,12/31/09,28.28,,,AEP
2010,12/31/10,32.41,,,AEP
2011,12/31/11,38.62,,,AEP
2012,12/31/12,33.1,,,AEP
2013,12/31/13,48.97,120807,3773309,AEP
2014,12/31/14,48.97,130319,422634,AEP
2015,12/31/15,46.21,108611,341466,AEP
2016,12/31/16,53.79,99166.6,317362,AEP
2017,12/31/17,55.17,78760.4,237034,AEP
2018,12/31/18,55.17,75361.2,244430,AEP
2019,12/31/19,54.48,64776.3,212645,AEP
current,2/10/21,54.48,,,AEP
2005,12/31/05,,,,AES
2006,12/31/06,,,,AES
2007,12/31/07,3.1,,,AES
2008,12/31/08,3.1,,,AES
2009,12/31/09,8.53,,,AES
2010,12/31/10,8.53,,,AES
2011,12/31/11,19.38,61186,,AES
2012,12/31/12,25.58,80854,,AES
2013,12/31/13,29.46,75449,,AES
2014,12/31/14,51.16,74972.9,247819,AES
2015,12/31/15,48.84,68634.1,211662,AES
2016,12/31/16,43.41,70273,,AES
2017,12/31/17,45.74,63497,,AES
2018,12/31/18,43.41,54154,,AES
2019,12/31/19,49.61,49092,61377,AES
current,2/10/21,49.61,,,AES
2005,12/31/05,,,,APA
2006,12/31/06,,,,APA
2007,12/31/07,1.65,,,APA
2008,12/31/08,7.44,90999.8,,APA
2009,12/31/09,18.18,10985,29536.2,APA
2010,12/31/10,28.93,9860,30400,APA
2011,12/31/11,33.88,11760,25200,APA
2012,12/31/12,31.4,10766,10852.6,APA
2013,12/31/13,28.1,8400,10738,APA
2014,12/31/14,33.88,7100,5400,APA
2015,12/31/15,36.36,6590,4970,APA
2016,12/31/16,38.84,6860,3424,APA
2017,12/31/17,38.84,6150,2759,APA
2018,12/31/18,41.32,3410,3353,APA
2019,12/31/19,41.32,6550,4710,APA
current,2/10/21,41.32,,,APA
2005,12/31/05,,,,ATO
2006,12/31/06,,,,ATO
2007,12/31/07,,,,ATO
2008,12/31/08,1.38,,,ATO
2009,12/31/09,1.38,,,ATO
2010,12/31/10,1.38,,,ATO
2011,12/31/11,1.38,,,ATO
2012,12/31/12,1.38,,,ATO
2013,12/31/13,1.38,,,ATO
2014,12/31/14,1.38,,,ATO
2015,12/31/15,4.83,,,ATO
2016,12/31/16,4.83,,,ATO
2017,12/31/17,4.83,,,ATO
2018,12/31/18,4.83,,,ATO
2019,12/31/19,8.97,,,ATO
2020,9/30/20,,,,ATO
2005,12/31/05,,,,AWK
2006,12/31/06,,,,AWK
2007,12/31/07,,,,AWK
2008,12/31/08,14.48,65.9,,AWK
2009,12/31/09,17.93,64.5,,AWK
2010,12/31/10,13.79,,,AWK
2011,12/31/11,14.48,,,AWK
2012,12/31/12,25.52,62.8,1348.4,AWK
2013,12/31/13,22.76,64.8,1322,AWK
2014,12/31/14,24.14,66.4,1323.2,AWK
2015,12/31/15,27.59,54,1298.4,AWK
2016,12/31/16,40.69,52.5,1284.9,AWK
2017,12/31/17,40.69,55.9,1311.9,AWK
2018,12/31/18,38.62,60.9,1363.2,AWK
2019,12/31/19,,,,AWK
2005,12/31/05,,,,BKR
2006,12/31/06,,,,BKR
2007,12/31/07,,,,BKR
2008,12/31/08,,,,BKR
2009,12/31/09,,,,BKR
2010,12/31/10,,,,BKR
2011,12/31/11,,,,BKR
2012,12/31/12,,,,BKR
2013,12/31/13,,,,BKR
2014,12/31/14,,,,BKR
2015,12/31/15,,,,BKR
2016,12/31/16,,,,BKR
2017,12/31/17,37.98,383.1,1840.8,BKR
2018,12/31/18,42.64,353.3,1621.8,BKR
2019,12/31/19,51.16,383.1,1862.8,BKR
current,2/10/21,51.16,,,BKR
2005,12/31/05,,,,CMS
2006,12/31/06,,,,CMS
2007,12/31/07,,,,CMS
2008,12/31/08,4.83,,,CMS
2009,12/31/09,6.21,,,CMS
2010,12/31/10,12.41,,,CMS
2011,12/31/11,14.48,,,CMS
2012,12/31/12,16.55,,,CMS
