Year,Ticker,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption
2005,AEE,,,
2006,AEE,,,
2007,AEE,9.7,,
2008,AEE,9.7,,
2009,AEE,12.4,,
2010,AEE,12.4,,
2011,AEE,12.4,,
2012,AEE,20.0,,
2013,AEE,24.8,32978.0,
2014,AEE,35.9,30675.0,
2015,AEE,41.4,28548.2,2717.2
2016,AEE,41.4,26795.6,2444.5
2017,AEE,41.4,30200.4,44392.9
2018,AEE,41.4,29588.0,45911.3
2019,AEE,42.8,24413.7,38864.2
2005,AEP,,,
2006,AEP,15.2,,
2007,AEP,24.1,,
2008,AEP,27.6,,
2009,AEP,28.3,,
2010,AEP,32.4,,
2011,AEP,38.6,,
2012,AEP,33.1,,
2013,AEP,49.0,120807.0,3773309.0
2014,AEP,49.0,130319.0,422634.0
2015,AEP,46.2,108611.0,341466.0
2016,AEP,53.8,99166.6,317362.0
2017,AEP,55.2,78760.4,237034.0
2018,AEP,55.2,75361.2,244430.0
2019,AEP,54.5,64776.3,212645.0
2005,AES,,,
2006,AES,,,
2007,AES,3.1,,
2008,AES,3.1,,
2009,AES,8.5,,
2010,AES,8.5,,
2011,AES,19.4,61186.0,
2012,AES,25.6,80854.0,
2013,AES,29.5,75449.0,
2014,AES,51.2,74972.9,247819.0
2015,AES,48.8,68634.1,211662.0
2016,AES,43.4,70273.0,
2017,AES,45.7,63497.0,
2018,AES,43.4,54154.0,
2019,AES,49.6,49092.0,61377.0
2005,APA,,,
2006,APA,,,
2007,APA,1.7,,
2008,APA,7.4,90999.8,
2009,APA,18.2,10985.0,29536.2
2010,APA,28.9,9860.0,30400.0
2011,APA,33.9,11760.0,25200.0
2012,APA,31.4,10766.0,10852.6
2013,APA,28.1,8400.0,10738.0
2014,APA,33.9,7100.0,5400.0
2015,APA,36.4,6590.0,4970.0
2016,APA,38.8,6860.0,3424.0
2017,APA,38.8,6150.0,2759.0
2018,APA,41.3,3410.0,3353.0
2019,APA,41.3,6550.0,4710.0
2005,ATO,,,
2006,ATO,,,
2007,ATO,,,
2008,ATO,1.4,,
2009,ATO,1.4,,
2010,ATO,1.4,,
2011,ATO,1.4,,
2012,ATO,1.4,,
2013,ATO,1.4,,
2014,ATO,1.4,,
2015,ATO,4.8,,
2016,ATO,4.8,,
2017,ATO,4.8,,
2018,ATO,4.8,,
2019,ATO,9.0,,
2005,AWK,,,
2006,AWK,,,
2007,AWK,,,
2008,AWK,14.5,65.9,
2009,AWK,17.9,64.5,
2010,AWK,13.8,,
2011,AWK,14.5,,
2012,AWK,25.5,62.8,1348.4
2013,AWK,22.8,64.8,1322.0
2014,AWK,24.1,66.4,1323.2
2015,AWK,27.6,54.0,1298.4
2016,AWK,40.7,52.5,1284.9
2017,AWK,40.7,55.9,1311.9
2018,AWK,38.6,60.9,1363.2
2019,AWK,,,
2005,BKR,,,
2006,BKR,,,
2007,BKR,,,
2008,BKR,,,
2009,BKR,,,
2010,BKR,,,
2011,BKR,,,
2012,BKR,,,
2013,BKR,,,
2014,BKR,,,
2015,BKR,,,
2016,BKR,,,
2017,BKR,38.0,383.1,1840.8
2018,BKR,42.6,353.3,1621.8
2019,BKR,51.2,383.1,1862.8
2005,CMS,,,
2006,CMS,,,
2007,CMS,,,
2008,CMS,4.8,,
2009,CMS,6.2,,
2010,CMS,12.4,,
2011,CMS,14.5,,
2012,CMS,16.6,,
2013,CMS,16.6,,
2014,CMS,16.6,,
2015,CMS,16.6,,
2016,CMS,49.0,13001.5,101.5
2017,CMS,51.7,12891.0,16088.0
2018,CMS,44.1,12743.0,166.4
2019,CMS,53.8,12659.0,17376.7
2005,CNP,,,
2006,CNP,,,
2007,CNP,,,
2008,CNP,,,
2009,CNP,1.4,,
2010,CNP,1.4,,
2011,CNP,1.4,,
2012,CNP,3.5,,
2013,CNP,3.5,,
2014,CNP,3.5,,
2015,CNP,3.5,,
2016,CNP,7.6,,
2017,CNP,26.2,5453.9,
2018,CNP,28.3,6150.2,
2019,CNP,35.9,5868.4,
2005,COG,,,
2006,COG,,,
2007,COG,,,
2008,COG,,,
2009,COG,1.7,,
2010,COG,1.7,,
2011,COG,1.7,,
2012,COG,1.7,,
2013,COG,4.1,,
2014,COG,4.1,,
2015,COG,4.1,,
2016,COG,4.1,,
2017,COG,6.6,,
2018,COG,6.6,,
2019,COG,22.3,530.9,
2005,COP,,,
2006,COP,52.1,53423.2,243138.0
2007,COP,53.7,54971.2,226380.0
2008,COP,55.4,54735.0,2404492.0
2009,COP,59.5,54623.1,79380.0
2010,COP,57.0,58634.7,79879.8
2011,COP,62.0,59400.0,79497.6
2012,COP,59.5,24478.6,73441.2
2013,COP,59.5,25761.2,73088.4
2014,COP,63.6,26039.3,71706.6
2015,COP,62.8,24445.0,64092.0
2016,COP,64.5,25300.0,68796.0
2017,COP,61.2,19400.0,66150.0
2018,COP,61.2,19200.0,67032.0
2019,COP,66.9,19500.0,66150.0
2005,CVX,,,
2006,CVX,30.6,65400.0,264600.0
2007,CVX,30.6,63700.0,269892.0
2008,CVX,34.7,62700.0,268716.0
2009,CVX,37.2,60800.0,225556.0
2010,CVX,37.2,62100.0,263722.0
2011,CVX,35.5,61600.0,263889.0
2012,CVX,47.1,70000.0,255000.0
2013,CVX,49.6,69000.0,258056.0
2014,CVX,46.3,66000.0,257500.0
2015,CVX,46.3,68000.0,243056.0
2016,CVX,46.3,66000.0,252500.0
2017,CVX,48.8,63000.0,237222.0
2018,CVX,48.8,66000.0,270278.0
2019,CVX,48.8,60000.0,261944.0
2005,D,,,
2006,D,,,
2007,D,15.9,,
2008,D,26.2,,
2009,D,29.7,,
2010,D,29.7,,
2011,D,31.7,,
2012,D,31.7,,
2013,D,34.5,,
2014,D,35.2,,
2015,D,42.8,46340.7,
2016,D,44.8,48117.3,
2017,D,60.0,41649.5,133547.0
2018,D,60.0,39408.1,133547.0
2019,D,60.0,31890.8,172491.0
2005,DTE,,,
2006,DTE,,,
2007,DTE,12.4,43600.0,
2008,DTE,8.3,41800.0,
2009,DTE,13.8,,
2010,DTE,30.3,39920.0,
2011,DTE,30.3,,
2012,DTE,30.3,,
2013,DTE,39.4,,
2014,DTE,47.6,35600.0,118000.0
2015,DTE,47.6,33900.0,103673.0
2016,DTE,55.9,32000.0,93087.0
2017,DTE,58.6,31857.0,102600.0
2018,DTE,64.8,34246.0,108380.0
2019,DTE,60.7,30714.0,108308.0
2005,DUK,,,
2006,DUK,22.8,,
2007,DUK,31.7,,342779.0
2008,DUK,41.4,,327939.0
2009,DUK,53.8,,406069.0
2010,DUK,56.6,,425409.0
2011,DUK,57.9,143835.0,449849.0
2012,DUK,59.3,135939.0,456003.0
2013,DUK,65.5,124472.0,416088.0
2014,DUK,57.9,125893.0,460691.0
2015,DUK,62.8,101131.0,374656.0
2016,DUK,55.2,98115.6,355868.0
2017,DUK,53.8,96543.4,341500.0
2018,DUK,57.9,96547.1,380260.0
2019,DUK,58.6,85517.5,334020.0
2005,DVN,,,
2006,DVN,,,
2007,DVN,9.9,3680.0,
2008,DVN,9.9,3680.0,
2009,DVN,4.1,,
2010,DVN,4.1,,
2011,DVN,19.0,7232.9,
2012,DVN,19.0,7596.7,
2013,DVN,19.0,7644.6,
2014,DVN,24.0,5925.4,10223.4
2015,DVN,26.5,6065.8,11278.2
2016,DVN,28.9,5381.1,18165.9
2017,DVN,36.4,5368.9,26062.3
2018,DVN,36.4,5647.5,21533.4
2019,DVN,36.4,2610.0,8295.6
2005,ED,,,
2006,ED,17.9,,
2007,ED,6.2,,
2008,ED,6.2,,
2009,ED,27.6,3735.6,
2010,ED,44.1,3265.2,21148.9
2011,ED,51.0,3370.5,18962.8
2012,ED,57.9,3314.4,14650.6
2013,ED,62.8,3361.5,15276.8
2014,ED,62.8,3157.2,14390.2
2015,ED,59.3,3137.1,14467.5
2016,ED,44.1,3093.0,
2017,ED,37.2,3015.0,
2018,ED,37.2,3068.0,
2019,ED,40.0,2907.0,
2005,EIX,,,
2006,EIX,,,
2007,EIX,7.6,,
2008,EIX,7.6,,
2009,EIX,7.6,,
2010,EIX,7.6,,
2011,EIX,25.5,5715.3,
2012,EIX,25.5,7200.0,
2013,EIX,25.5,6200.0,
2014,EIX,27.6,2400.0,
2015,EIX,27.6,2400.0,
2016,EIX,27.6,2400.0,
2017,EIX,33.1,1900.0,
2018,EIX,36.6,1100.0,
2019,EIX,44.1,1400.0,
2005,EOG,,,
2006,EOG,,,
2007,EOG,1.7,,
2008,EOG,6.6,,
2009,EOG,6.6,,
2010,EOG,6.6,,
2011,EOG,7.4,,
2012,EOG,9.1,,
2013,EOG,9.1,,
2014,EOG,15.7,,
2015,EOG,15.7,,
2016,EOG,17.4,,
2017,EOG,30.6,3300.0,
2018,EOG,30.6,5405.6,
2019,EOG,34.7,5300.0,
2005,ES,,,
2006,ES,,,
2007,ES,,,
2008,ES,15.2,,
2009,ES,15.2,,
2010,ES,25.5,,
2011,ES,27.6,,
2012,ES,31.0,1711.0,
2013,ES,42.1,1962.0,6487.7
2014,ES,45.5,1799.2,6936.5
2015,ES,53.1,1623.3,6750.2
2016,ES,53.1,852.6,4169.4
2017,ES,54.5,713.4,3170.0
2018,ES,53.1,169.4,603.8
2019,ES,59.3,128.8,374.7
2005,ETR,12.4,,
2006,ETR,16.6,,
2007,ETR,24.1,32600.0,
2008,ETR,25.5,33187.0,
2009,ETR,38.6,30409.2,42640.8
2010,ETR,37.2,34000.0,7138.3
2011,ETR,33.8,34800.0,
2012,ETR,33.8,34800.0,
2013,ETR,35.2,34200.0,
2014,ETR,37.2,34185.3,
2015,ETR,35.9,31843.3,
2016,ETR,33.8,35200.0,
2017,ETR,36.6,33100.0,
2018,ETR,38.6,36500.0,
2019,ETR,40.0,34400.0,
2005,EVRG,,,
2006,EVRG,,,
2007,EVRG,,,
2008,EVRG,,,
2009,EVRG,,,
2010,EVRG,,,
2011,EVRG,,,
2012,EVRG,,,
2013,EVRG,,,
2014,EVRG,,,
2015,EVRG,,,
2016,EVRG,,,
2017,EVRG,,,
2018,EVRG,26.2,29742.9,
2019,EVRG,27.6,26499.4,
2005,EXC,14.5,,
2006,EXC,22.8,,
2007,EXC,26.2,,
2008,EXC,28.3,,
2009,EXC,42.1,8893.0,
2010,EXC,43.5,9268.0,
2011,EXC,43.5,6600.0,
2012,EXC,46.9,22497.0,
2013,EXC,48.3,18697.0,
2014,EXC,60.7,16786.0,88591.3
2015,EXC,55.9,7677.0,64944.5
2016,EXC,58.6,9723.0,82392.5
2017,EXC,64.1,10200.0,72702.2
2018,EXC,59.3,9526.0,75006.7
2019,EXC,49.7,9395.0,66356.9
2005,FANG,,,
2006,FANG,,,
2007,FANG,,,
2008,FANG,,,
2009,FANG,,,
2010,FANG,,,
2011,FANG,,,
2012,FANG,,,
2013,FANG,,,
2014,FANG,,,
2015,FANG,3.9,,
2016,FANG,14.0,,
2017,FANG,24.0,,
2018,FANG,24.0,,
2019,FANG,26.4,,
2005,FE,,,
2006,FE,,,
2007,FE,11.7,,
2008,FE,9.7,,
2009,FE,13.1,,
2010,FE,13.1,,
2011,FE,13.1,,
2012,FE,13.1,,
2013,FE,13.1,,
2014,FE,13.1,,
2015,FE,17.2,,
2016,FE,31.7,46333.4,
2017,FE,37.9,42354.9,
2018,FE,47.6,32874.7,203527.0
2019,FE,,17935.5,
2005,FTI,,,
2006,FTI,,,
2007,FTI,,,
2008,FTI,,,
2009,FTI,,,
2010,FTI,,,
2011,FTI,,,
2012,FTI,,,
2013,FTI,,,
2014,FTI,,,
2015,FTI,,,
2016,FTI,,,
2017,FTI,14.0,483.2,
2018,FTI,14.0,574.1,
2019,FTI,16.3,416.1,
2005,HAL,,,
2006,HAL,9.3,,
2007,HAL,14.0,,
2008,HAL,11.6,,
2009,HAL,15.5,,
2010,HAL,17.8,,
2011,HAL,42.6,4426.6,
2012,HAL,17.8,,
2013,HAL,17.8,,
2014,HAL,43.4,11438.9,45534.0
2015,HAL,45.0,3210.4,12644.6
2016,HAL,46.5,1770.7,7135.0
2017,HAL,46.5,1837.7,7469.6
2018,HAL,46.5,4739.0,19523.8
2019,HAL,45.7,4511.4,18814.1
2005,HES,,,
2006,HES,15.7,,
2007,HES,39.7,,
2008,HES,53.7,10700.0,
2009,HES,78.5,4000.0,12093.9
2010,HES,78.5,3700.0,12348.9
2011,HES,84.3,4300.0,12742.8
2012,HES,80.2,5000.0,13034.7
2013,HES,73.6,4400.0,10435.3
2014,HES,72.7,4800.0,9562.8
2015,HES,76.0,5100.0,10041.1
2016,HES,76.0,4100.0,10623.9
2017,HES,78.5,3700.0,9200.3
2018,HES,78.5,3577.3,8514.7
2019,HES,80.2,3900.0,7828.3
2005,HFC,,,
2006,HFC,,,
2007,HFC,1.6,,
2008,HFC,1.6,,
2009,HFC,1.6,,
2010,HFC,1.6,,
2011,HFC,1.6,,
2012,HFC,1.6,,
2013,HFC,1.6,,
2014,HFC,3.1,,
2015,HFC,3.1,,
2016,HFC,38.8,4829.0,20714.0
2017,HFC,41.1,5328.0,23294.0
2018,HFC,41.1,5336.0,22777.0
2019,HFC,45.0,5443.0,23156.0
2005,KMI,,,
2006,KMI,,,
2007,KMI,,,
2008,KMI,,,
2009,KMI,,,
2010,KMI,5.4,,
2011,KMI,5.4,,
2012,KMI,5.4,,
2013,KMI,5.4,,
2014,KMI,5.4,,
2015,KMI,5.4,,
2016,KMI,5.4,,
2017,KMI,22.5,,
2018,KMI,27.1,,7755.0
2019,KMI,33.3,,7693.0
2005,LNT,,,
2006,LNT,,,
2007,LNT,20.0,,
2008,LNT,24.1,,
2009,LNT,22.8,,
2010,LNT,25.5,,
2011,LNT,25.5,,
2012,LNT,25.5,,
2013,LNT,22.1,,
2014,LNT,22.1,,
2015,LNT,25.5,16460.0,
2016,LNT,31.7,14450.0,
2017,LNT,33.8,16370.0,
2018,LNT,42.8,17480.0,
2019,LNT,42.8,14296.5,
2005,MPC,,,
2006,MPC,,,
2007,MPC,,,
2008,MPC,,,
2009,MPC,,,
2010,MPC,21.7,10600.0,64974.0
2011,MPC,24.0,10100.0,54096.0
2012,MPC,24.0,9900.0,68796.0
2013,MPC,24.0,17200.0,93786.0
2014,MPC,25.6,17200.0,106428.0
2015,MPC,40.3,36100.0,106428.0
2016,MPC,48.1,36900.0,166667.0
2017,MPC,48.1,36700.0,166667.0
2018,MPC,48.1,36400.0,166667.0
2019,MPC,51.9,36800.0,166667.0
2005,MRO,24.0,15400.0,74970.0
2006,MRO,35.5,14900.0,75558.0
2007,MRO,36.4,14600.0,74676.0
2008,MRO,33.9,14000.0,72000.6
2009,MRO,35.5,13700.0,74970.0
2010,MRO,36.4,3200.0,14700.0
2011,MRO,38.0,3200.0,14788.2
2012,MRO,38.0,3900.0,20286.0
2013,MRO,34.7,3890.0,22020.6
2014,MRO,39.7,3520.0,16522.8
2015,MRO,39.7,3580.0,16493.4
2016,MRO,39.7,3070.0,13494.6
2017,MRO,41.3,3680.0,12847.8
2018,MRO,43.0,5200.0,13188.8
2019,MRO,47.1,6470.0,10636.9
2005,NEE,,,
2006,NEE,24.1,,
2007,NEE,29.7,,
2008,NEE,33.8,,
2009,NEE,53.1,,
2010,NEE,29.7,,
2011,NEE,21.4,,
2012,NEE,49.0,47470.5,253049.0
2013,NEE,47.6,44852.5,290207.0
2014,NEE,42.8,45057.1,207603.0
2015,NEE,40.0,49457.1,255762.0
2016,NEE,40.0,41889.7,390887.0
2017,NEE,40.0,39026.5,
2018,NEE,37.9,38200.8,
2019,NEE,38.6,45330.1,
2005,NI,,,
2006,NI,11.0,25570.1,
2007,NI,13.1,26747.9,
2008,NI,19.3,26441.5,
2009,NI,33.1,21800.0,44990.6
2010,NI,18.6,,
2011,NI,28.3,21918.8,
2012,NI,28.3,20674.8,
2013,NI,30.3,19146.2,
2014,NI,30.3,19503.9,
2015,NI,36.6,12299.4,
2016,NI,42.8,12420.3,
2017,NI,49.0,12044.7,34400.8
2018,NI,49.0,12580.8,37053.3
2019,NI,47.6,10202.1,30915.9
2005,NOV,,,
2006,NOV,,,
2007,NOV,3.9,,
2008,NOV,3.9,,
2009,NOV,5.4,,
2010,NOV,17.1,,
2011,NOV,17.1,,
2012,NOV,14.7,,
2013,NOV,10.9,,
2014,NOV,10.9,,
2015,NOV,12.4,,
2016,NOV,12.4,,
2017,NOV,12.4,,
2018,NOV,21.7,1010.0,1990.0
2019,NOV,,,
2005,NRG,,,
2006,NRG,,,
2007,NRG,1.6,,
2008,NRG,1.6,,
2009,NRG,31.8,59000.0,
2010,NRG,41.9,57000.0,
2011,NRG,57.4,60000.0,237087.0
2012,NRG,45.7,47000.0,161686.0
2013,NRG,31.0,75000.0,
2014,NRG,32.6,102000.0,
2015,NRG,48.8,89214.1,365611.0
2016,NRG,53.5,68624.2,18098.0
2017,NRG,50.4,51000.0,172209.0
2018,NRG,48.8,49711.2,156405.0
2019,NRG,,39000.0,
2005,OKE,,,
2006,OKE,,,
2007,OKE,,,
2008,OKE,11.6,4900.0,
2009,OKE,24.0,4300.0,
2010,OKE,23.1,1100.0,
2011,OKE,23.1,1400.0,
2012,OKE,23.1,1500.0,
2013,OKE,23.1,1700.0,
2014,OKE,23.1,1900.0,
2015,OKE,28.1,1900.0,
2016,OKE,28.1,2500.0,
2017,OKE,37.2,2900.0,
2018,OKE,43.8,3200.0,
2019,OKE,62.8,3800.0,
2005,OXY,33.1,8500.0,
2006,OXY,29.8,10230.0,
2007,OXY,34.7,10000.0,
2008,OXY,33.1,10100.0,
2009,OXY,28.1,10300.0,
2010,OXY,28.1,11200.0,
2011,OXY,34.7,12200.0,
2012,OXY,37.2,9800.0,71148.0
2013,OXY,37.2,12500.0,64386.0
2014,OXY,37.2,10400.0,66444.0
2015,OXY,46.3,9300.0,28169.2
2016,OXY,54.6,10450.0,62365.1
2017,OXY,58.7,11300.0,57531.7
2018,OXY,60.3,10370.0,60000.0
2019,OXY,62.8,22430.2,76361.8
2005,PEG,,,
2006,PEG,17.2,25176.1,
2007,PEG,15.9,24420.0,
2008,PEG,20.0,23860.0,
2009,PEG,49.7,20160.0,
