Company,GHG Scope 1,Total_Assets,Total_Sales,Utility,cluster,k3
AES CORP (THE),66456.88888888889,37643.333333333336,14251.555555555555,1,3,0
ALLIANT ENERGY CORP,15811.3,14436.7,3427.6,1,1,2
AMEREN CORP,29028.414285714283,24878.571428571428,6063.285714285715,1,1,2
AMERICAN ELECTRIC POWER CO,96828.78571428571,64374.57142857142,16056.042857142855,1,3,1
AMERICAN WATER WORKS CO INC,60.85555555555555,15455.169666666667,2980.634,1,1,2
CENTERPOINT ENERGY INC,5824.166666666667,28394.666666666668,10834.666666666666,1,1,0
CMS ENERGY CORP,12823.625,24009.5,6675.0,1,1,2
CONSOLIDATED EDISON INC,3220.409090909091,44491.27272727273,12575.363636363636,1,1,0
DOMINION ENERGY INC,41481.28,77745.8,13231.8,1,2,0
DTE ENERGY CO,35959.666666666664,30436.555555555555,11016.444444444445,1,3,0
DUKE ENERGY CORP,111999.28888888888,123103.44444444444,22445.555555555555,1,2,1
EDISON INTERNATIONAL,3412.811111111111,51619.0,12370.333333333334,1,1,0
ENTERGY CORP,33786.52307692308,42877.418153846156,11349.99253846154,1,3,0
EVERGY INC,28121.15,25787.0,4747.950000000001,1,1,2
EVERSOURCE ENERGY,1119.9624999999999,33011.921875,7704.67825,1,1,2
EXELON CORP,11751.09090909091,88494.09090909091,26859.363636363636,1,2,1
FIRSTENERGY CORP,34874.625,41942.25,12717.5,1,3,0
NEXTERA ENERGY INC,43910.5375,87545.75,16647.5,1,2,1
NISOURCE INC,18565.423076923078,20472.946153846155,6041.338461538461,1,1,2
NRG ENERGY INC,63413.5909090909,26945.272727272728,10856.181818181818,1,3,0
PINNACLE WEST CAPITAL CORP,13726.25,14524.903666666665,3428.261833333334,1,1,2
PPL CORP,28876.3,41634.2,7637.4,1,1,0
PUBLIC SERVICE ENTRP GRP INC,17439.442857142858,34816.28571428572,10952.357142857143,1,1,0
SEMPRA ENERGY,7272.727272727273,42847.181818181816,10229.181818181818,1,1,0
SOUTHERN CO,92406.8,117807.0,22457.0,1,2,1
WEC ENERGY GROUP INC,25778.87857142857,19914.457142857143,5392.428571428572,1,1,2
XCEL ENERGY INC,49308.114285714284,41505.598,11314.637571428571,1,3,0
