,,,ETR,ETR,ETR,ETR,ETR,ETR,
Year,Day,Date,Open,High,Low,Close,Adj Close,Volume,Return
2012,1,1/1/12,73.65000153,73.66000366,68.22000122,69.37999725,46.12184143,26950900,
2013,1,1/1/13,64.51999664,65.20999908,62.38000107,64.59999847,45.09476471,20214100,-2%
2014,1,1/1/14,63.34999847,63.49000168,60.40000153,63.02999878,46.26535797,36653200,3%
2015,1,1/1/15,87.48000336,90.33000183,85.16999817,87.51000214,67.25487518,28820300,45%
2016,1,1/1/16,67.91000366,71.56999969,65.37999725,70.58000183,56.81852722,25557600,-16%
2017,1,1/1/17,73.5,73.88999939,70.01999664,71.63999939,60.39225388,26675200,6%
2018,1,1/1/18,81.70999908,82.95999908,76.55000305,78.69000244,69.40808868,27896500,15%
2019,1,1/1/19,85.65000153,89.48999786,83.23999786,89.19000244,82.27980804,29503600,19%
2020,1,1/1/20,119.8300018,132.0200043,117.4100037,131.5200043,125.7935333,25156100,53%
2021,1,1/1/21,99.81999969,100.0800018,91.77999878,95.33000183,94.38673401,30756300,-25%
2012,2,2/1/12,69.54000092,69.98000336,66.37999725,66.62999725,44.29372406,22223700,
2013,2,2/1/13,64.80999756,65.29000092,61.09000015,62.25999832,43.4612999,26558600,-2%
2014,2,2/1/14,63.22999954,65.33999634,61.66999817,63.81999969,46.84523773,33476200,8%
2015,2,2/1/15,87.55999756,89.51999664,78.15000153,79.51000214,61.10656738,30753100,30%
2016,2,2/1/16,70.62000275,74.58000183,69.33999634,72.20999908,58.13072968,29596200,-5%
2017,2,2/1/17,71.16000366,76.79000092,69.62999725,76.66000366,64.62407684,25865000,11%
2018,2,2/1/18,78.47000122,78.98000336,71.94999695,75.81999969,66.87663269,28619400,3%
2019,2,2/1/19,89.02999878,93.61000061,87.58999634,93.33000183,86.09903717,27905400,29%
2020,2,2/1/20,131.9100037,135.5500031,113.8899994,116.9100037,111.8196564,28520200,30%
2021,2,2/1/21,95.30999756,97.80000305,93.77999878,94.88999939,93.95108032,12064000,-16%
2011,3,3/1/11,71.41999817,74.26000214,64.72000122,67.20999908,43.00653458,42703300,
2012,3,3/1/12,67.16999817,68.83999634,66.23000336,67.19999695,45.21846771,21456500,5%
2013,3,3/1/13,62.20999908,65.38999939,61.41999817,63.24000168,44.7197876,22937500,-1%
2014,3,3/1/14,63.59999847,67.01999664,61.81999969,66.84999847,49.71815109,29446700,11%
2015,3,3/1/15,79.18000031,79.38999939,73.87999725,77.48999786,60.16837311,30150700,21%
2016,3,3/1/16,72.69999695,79.72000122,70.61000061,79.27999878,64.59064484,26412400,7%
2017,3,3/1/17,75.84999847,77.51000214,72.79000092,75.95999908,64.82084656,33001500,0%
2018,3,3/1/18,75.87000275,80.15000153,75.56999969,78.77999878,70.33615875,28772500,9%
2019,3,3/1/19,93.33000183,96.87000275,91.59999847,95.62999725,89.11334229,35930300,27%
2020,3,3/1/20,117.4000015,128.75,75.19000244,93.97000122,90.51190948,53153000,2%
2011,4,4/1/11,67.69000244,70.40000153,65.15000153,69.72000122,44.6126442,33906300,
2012,4,4/1/12,67.23000336,68.12999725,64.91000366,65.55999756,44.11492157,37594800,-1%
2013,4,4/1/13,63.36999893,71.80999756,63.11999893,71.23000336,50.36988449,38094400,14%
2014,4,4/1/14,66.80999756,73.91999817,66.41000366,72.5,53.92021561,46307900,7%
2015,4,4/1/15,77.30999756,79.83999634,76.25,77.18000031,59.92766571,21261600,11%
