,Year,Ticker,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Change_in_EDS,Change_in_GHG,Change_in_TEC
0,2005,AEE,,,,0.0,0.0,0.0
1,2006,AEE,,,,0.0,0.0,0.0
2,2007,AEE,9.7,,,0.0,0.0,0.0
3,2008,AEE,9.7,,,0.0,0.0,0.0
4,2009,AEE,12.4,,,27.835051546391764,0.0,0.0
5,2010,AEE,12.4,,,0.0,0.0,0.0
6,2011,AEE,12.4,,,0.0,0.0,0.0
7,2012,AEE,20.0,,,61.29032258064515,0.0,0.0
8,2013,AEE,24.8,32978.0,,24.0,0.0,0.0
9,2014,AEE,35.9,30675.0,,44.758064516129025,-6.9834435077930745,0.0
10,2015,AEE,41.4,28548.2,2717.2,15.32033426183843,-6.933333333333335,0.0
11,2016,AEE,41.4,26795.6,2444.5,0.0,-6.139091081048898,-10.036066539084343
12,2017,AEE,41.4,30200.4,44392.9,0.0,12.706563764200096,1716.031908365719
13,2018,AEE,41.4,29588.0,45911.3,0.0,-2.0277877114210474,3.4203667703619267
14,2019,AEE,42.8,24413.7,38864.2,3.3816425120772875,-17.487832905231848,-15.349380217941999
15,2005,AEP,,,,0.0,0.0,0.0
16,2006,AEP,15.2,,,0.0,0.0,0.0
17,2007,AEP,24.1,,,58.55263157894739,0.0,0.0
18,2008,AEP,27.6,,,14.522821576763478,0.0,0.0
19,2009,AEP,28.3,,,2.53623188405796,0.0,0.0
20,2010,AEP,32.4,,,14.487632508833915,0.0,0.0
21,2011,AEP,38.6,,,19.13580246913582,0.0,0.0
22,2012,AEP,33.1,,,-14.24870466321243,0.0,0.0
23,2013,AEP,49.0,120807.0,3773309.0,48.03625377643503,0.0,0.0
24,2014,AEP,49.0,130319.0,422634.0,0.0,7.873715927057212,-88.79938006667358
25,2015,AEP,46.2,108611.0,341466.0,-5.714285714285705,-16.657586384180355,-19.205269807918913
26,2016,AEP,53.8,99166.6,317362.0,16.450216450216427,-8.695620148972017,-7.058975124902622
27,2017,AEP,55.2,78760.4,237034.0,2.602230483271395,-20.577694506013124,-25.311158865900772
28,2018,AEP,55.2,75361.2,244430.0,0.0,-4.3158744749899665,3.120227477914561
29,2019,AEP,54.5,64776.3,212645.0,-1.2681159420289911,-14.045556599417196,-13.00372294726506
30,2005,AES,,,,0.0,0.0,0.0
31,2006,AES,,,,0.0,0.0,0.0
32,2007,AES,3.1,,,0.0,0.0,0.0
33,2008,AES,3.1,,,0.0,0.0,0.0
34,2009,AES,8.5,,,174.19354838709674,0.0,0.0
35,2010,AES,8.5,,,0.0,0.0,0.0
36,2011,AES,19.4,61186.0,,128.23529411764704,0.0,0.0
37,2012,AES,25.6,80854.0,,31.95876288659796,32.14460824371588,0.0
38,2013,AES,29.5,75449.0,,15.234375,-6.6848888119326215,0.0
39,2014,AES,51.2,74972.9,247819.0,73.55932203389833,-0.6310222799506993,0.0
40,2015,AES,48.8,68634.1,211662.0,-4.687500000000011,-8.454788330183295,-14.590083891872696
41,2016,AES,43.4,70273.0,,-11.065573770491799,2.3878800771045317,0.0
42,2017,AES,45.7,63497.0,,5.299539170506917,-9.642394660822795,0.0
43,2018,AES,43.4,54154.0,,-5.03282275711161,-14.714080980203793,0.0
44,2019,AES,49.6,49092.0,61377.0,14.285714285714302,-9.347416626657312,0.0
45,2005,APA,,,,0.0,0.0,0.0
46,2006,APA,,,,0.0,0.0,0.0
47,2007,APA,1.7,,,0.0,0.0,0.0
48,2008,APA,7.4,90999.8,,335.2941176470589,0.0,0.0
49,2009,APA,18.2,10985.0,29536.2,145.9459459459459,-87.92854489790088,0.0
50,2010,APA,28.9,9860.0,30400.0,58.79120879120878,-10.241238051888935,2.9245468272831365
51,2011,APA,33.9,11760.0,25200.0,17.301038062283737,19.26977687626774,-17.105263157894733
52,2012,APA,31.4,10766.0,10852.6,-7.374631268436582,-8.452380952380956,-56.93412698412699
53,2013,APA,28.1,8400.0,10738.0,-10.509554140127374,-21.97659297789337,-1.0559681550964761
54,2014,APA,33.9,7100.0,5400.0,20.64056939501777,-15.476190476190476,-49.71130564350903
55,2015,APA,36.4,6590.0,4970.0,7.374631268436582,-7.183098591549298,-7.96296296296296
56,2016,APA,38.8,6860.0,3424.0,6.593406593406592,4.097116843702575,-31.1066398390342
57,2017,APA,38.8,6150.0,2759.0,0.0,-10.349854227405253,-19.421728971962615
58,2018,APA,41.3,3410.0,3353.0,6.443298969072164,-44.552845528455286,21.529539688292854
59,2019,APA,41.3,6550.0,4710.0,0.0,92.08211143695016,40.471219803161354
60,2005,ATO,,,,0.0,0.0,0.0
61,2006,ATO,,,,0.0,0.0,0.0
62,2007,ATO,,,,0.0,0.0,0.0
63,2008,ATO,1.4,,,0.0,0.0,0.0
64,2009,ATO,1.4,,,0.0,0.0,0.0
