Year,Ticker,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Change_in_EDS,Change_in_GHG,Change_in_TEC,Ratio of GHG Emissions to Total Assets,Ratio of GHG Emissions to Total Sales,Ratio of Total Energy Consumption to Total Assets,Ratio of Total Energy Consumption to Total Sales,cusip,Company,Total_Assets,Net_Income,Total_Sales,cik,Change_in_Sales,Change_in_Assets,Change_in_NI,ROA,Profit_Margin,Annual Return,Logarithm_Total_Assets,Logarithm_Total_Sales,Profitable
2005,AEE,,,,0.0,0.0,0.0,,,,,023608102,AMEREN CORP,18162.0,619.0,6780.0,1002910.0,0.0,0.0,0.0,3.4082149543001874,9.129793510324484,,9.807086778249774,8.821732380934442,True
2006,AEE,,,,0.0,0.0,0.0,,,,,023608102,AMEREN CORP,19578.0,558.0,6880.0,1002910.0,1.474926253687325,7.796498183019485,-9.854604200323102,2.850137909898866,8.11046511627907,,9.882161765821376,8.836373930927389,True
2007,AEE,9.7,,,0.0,0.0,0.0,,,,,023608102,AMEREN CORP,20728.0,629.0,7546.0,1002910.0,9.680232558139544,5.873940136888334,12.724014336917566,3.0345426476263992,8.335542009011396,,9.939240722241946,8.928772900524256,True
2008,AEE,9.7,,,0.0,0.0,0.0,,,,,023608102,AMEREN CORP,22657.0,615.0,7839.0,1002910.0,3.882851842035517,9.30625241219607,-2.225755166931642,2.714392902855629,7.845388442403369,,10.028224133937456,8.966866554188723,True
2009,AEE,12.4,,,27.835051546391764,0.0,0.0,,,,,023608102,AMEREN CORP,23790.0,612.0,7090.0,1002910.0,-9.55479015180508,5.000662047049476,-0.4878048780487809,2.57250945775536,8.631875881523273,,10.077020603297004,8.866440619526173,True
2010,AEE,12.4,,,0.0,0.0,0.0,,,,,023608102,AMEREN CORP,23515.0,139.0,7638.0,1002910.0,7.729196050775733,-1.1559478772593557,-77.2875816993464,0.5911120561343822,1.8198481277821417,,10.065393794379148,8.940891067785461,True
2011,AEE,12.4,,,0.0,0.0,0.0,,,,,023608102,AMEREN CORP,23645.0,519.0,7531.0,1002910.0,-1.4008902854150351,0.5528386136508523,273.3812949640288,2.1949672235144853,6.891515071039703,,10.070906955077977,8.926783114101351,True
2012,AEE,20.0,,,61.29032258064515,0.0,0.0,,,,,023608102,AMEREN CORP,21835.0,-974.0,6828.0,1002910.0,-9.334749701234902,-7.654895326707544,-287.66859344894027,-4.460728188687887,-14.264792032806092,0.1982695130699732,9.99126946591966,8.828787083914332,False
2013,AEE,24.8,32978.0,,24.0,0.0,0.0,1567.2464594620285,5648.852346694073,,,023608102,AMEREN CORP,21042.0,289.0,5838.0,1002910.0,-14.499121265377855,-3.6317838332951657,-129.67145790554414,1.3734435890124514,4.950325453922576,0.1201567522500899,9.954275719368232,8.67214355141406,True
2014,AEE,35.9,30675.0,,44.75806451612903,-6.9834435077930745,0.0,1352.7518080790262,5067.73500743433,,,023608102,AMEREN CORP,22676.0,586.0,6053.0,1002910.0,3.6827680712572697,7.765421537876627,102.7681660899654,2.584230022931734,9.681149843053031,0.3528345331088098,10.029062375444196,8.708309295891688,True
2015,AEE,41.4,28548.2,2717.2,15.32033426183843,-6.933333333333335,0.0,1207.622673434856,4681.567727123647,114.94077834179356,445.5887176123319,023608102,AMEREN CORP,23640.0,630.0,6098.0,1002910.0,0.7434330084255647,4.251190686188044,7.508532423208192,2.66497461928934,10.331256149557232,0.0259433619574851,10.070695471520034,8.7157161275482,True
2016,AEE,41.4,26795.6,2444.5,0.0,-6.139091081048898,-10.036066539084343,1084.8860277744038,4410.0724160632,98.97161828414106,402.3206056616195,023608102,AMEREN CORP,24699.0,653.0,6076.0,1002910.0,-0.3607740242702495,4.479695431472086,3.65079365079366,2.643831734078302,10.747202106649112,0.1053906684251082,10.114518035966537,8.712101863715663,True
2017,AEE,41.4,30200.4,44392.9,0.0,12.706563764200096,1716.031908365719,1164.0161880901908,4889.169499757164,1711.0387357872423,7186.8058928282335,023608102,AMEREN CORP,25945.0,523.0,6177.0,1002910.0,1.6622778143515538,5.044738653386771,-19.90811638591118,2.01580265947196,8.466893313906427,0.1258548162774573,10.16373419180184,8.728587995695898,True
