,Year,Ticker,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Change_in_EDS,Change_in_GHG,Change_in_TEC,Ratio of GHG Emissions to Total Assets,Ratio of GHG Emissions to Total Sales,Ratio of Total Energy Consumption to Total Assets,Ratio of Total Energy Consumption to Total Sales
0,2005,AEE,,,,0.0,0.0,0.0,,,,
1,2006,AEE,,,,0.0,0.0,0.0,,,,
2,2007,AEE,9.7,,,0.0,0.0,0.0,,,,
3,2008,AEE,9.7,,,0.0,0.0,0.0,,,,
4,2009,AEE,12.4,,,27.835051546391764,0.0,0.0,,,,
5,2010,AEE,12.4,,,0.0,0.0,0.0,,,,
6,2011,AEE,12.4,,,0.0,0.0,0.0,,,,
7,2012,AEE,20.0,,,61.29032258064515,0.0,0.0,,,,
8,2013,AEE,24.8,32978.0,,24.0,0.0,0.0,1567.2464594620283,5648.852346694073,,
9,2014,AEE,35.9,30675.0,,44.758064516129025,-6.9834435077930745,0.0,1352.7518080790262,5067.73500743433,,
10,2015,AEE,41.4,28548.2,2717.2,15.32033426183843,-6.933333333333335,0.0,1207.622673434856,4681.567727123647,114.94077834179357,445.5887176123319
11,2016,AEE,41.4,26795.6,2444.5,0.0,-6.139091081048898,-10.036066539084343,1084.8860277744038,4410.0724160632,98.97161828414106,402.3206056616195
12,2017,AEE,41.4,30200.4,44392.9,0.0,12.706563764200096,1716.031908365719,1164.0161880901908,4889.169499757164,1711.0387357872423,7186.8058928282335
13,2018,AEE,41.4,29588.0,45911.3,0.0,-2.0277877114210474,3.4203667703619267,1087.1945618225243,4703.226831982197,1686.9851185008267,7297.93355587347
14,2019,AEE,42.8,24413.7,38864.2,3.3816425120772875,-17.487832905231848,-15.349380217941999,843.8011958663118,4130.913705583756,1343.2481941036187,6576.006768189509
15,2005,AEP,,,,0.0,0.0,0.0,,,,
16,2006,AEP,15.2,,,0.0,0.0,0.0,,,,
17,2007,AEP,24.1,,,58.55263157894739,0.0,0.0,,,,
18,2008,AEP,27.6,,,14.522821576763478,0.0,0.0,,,,
19,2009,AEP,28.3,,,2.53623188405796,0.0,0.0,,,,
20,2010,AEP,32.4,,,14.487632508833915,0.0,0.0,,,,
21,2011,AEP,38.6,,,19.13580246913582,0.0,0.0,,,,
22,2012,AEP,33.1,,,-14.24870466321243,0.0,0.0,,,,
23,2013,AEP,49.0,120807.0,3773309.0,48.03625377643503,0.0,0.0,2141.4365228489382,7866.575503027935,66886.03892650761,245706.12749886044
24,2014,AEP,49.0,130319.0,422634.0,0.0,7.873715927057212,-88.79938006667358,2185.350393238643,7656.815511163337,7087.250347961699,24831.609870740307
25,2015,AEP,46.2,108611.0,341466.0,-5.714285714285705,-16.657586384180355,-19.205269807918913,1760.790232656919,6601.208275593805,5535.811267591934,20753.774341769382
26,2016,AEP,53.8,99166.6,317362.0,16.450216450216427,-8.695620148972017,-7.058975124902622,1562.4735101476815,6054.090023870428,5000.370267080736,19374.851191384667
27,2017,AEP,55.2,78760.4,237034.0,2.602230483271395,-20.577694506013124,-25.311158865900772,1216.769582768801,5106.055792906275,3661.9387570659874,15366.971584904926
28,2018,AEP,55.2,75361.2,244430.0,0.0,-4.3158744749899665,3.120227477914561,1095.3217020237548,4653.161024222479,3552.617044655159,15092.277579851441
29,2019,AEP,54.5,64776.3,212645.0,-1.2681159420289911,-14.045556599417196,-13.00372294726506,853.529277673756,4162.626755947408,2801.9311577063813,13664.901615535877
30,2005,AES,,,,0.0,0.0,0.0,,,,
31,2006,AES,,,,0.0,0.0,0.0,,,,
32,2007,AES,3.1,,,0.0,0.0,0.0,,,,
33,2008,AES,3.1,,,0.0,0.0,0.0,,,,
34,2009,AES,8.5,,,174.19354838709674,0.0,0.0,,,,
35,2010,AES,8.5,,,0.0,0.0,0.0,,,,
36,2011,AES,19.4,61186.0,,128.23529411764704,0.0,0.0,1349.7011007433878,3542.0863725830727,,
37,2012,AES,25.6,80854.0,,31.95876288659796,32.14460824371588,0.0,1932.9189576858714,4480.438878421811,,
38,2013,AES,29.5,75449.0,,15.234375,-6.6848888119326215,0.0,1867.0411521615401,4747.9076206657855,,
39,2014,AES,51.2,74972.9,247819.0,73.55932203389833,-0.6310222799506993,0.0,1924.059436431761,4372.617520121311,6359.877842221424,14453.458532602357
40,2015,AES,48.8,68634.1,211662.0,-4.687500000000011,-8.454788330183295,-14.590083891872696,1862.5264586160108,4616.850531413965,5743.880597014925,14237.992735100228
41,2016,AES,43.4,70273.0,,-11.065573770491799,2.3878800771045317,0.0,1945.5965004568234,5172.456940968645,,
42,2017,AES,45.7,63497.0,,5.299539170506917,-9.642394660822795,0.0,1917.6431505194491,6030.104463437797,,
43,2018,AES,43.4,54154.0,,-5.03282275711161,-14.714080980203793,0.0,1665.200947080348,5044.150521609538,,
