Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"16,044,462,693.24",6.67,"16,044,462,693.24","118,856,676.00",37833100,US0378331005,2046251,134.99,United States,NASDAQ,USD,1,USD,-
MSFT,MICROSOFT CORP,Information Technology,Equity,"13,467,242,767.61",5.6,"13,467,242,767.61","56,228,311.00",594918104,US5949181045,2588173,239.51,United States,NASDAQ,USD,1,USD,-
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"10,720,474,440.00",4.45,"10,720,474,440.00","3,171,738.00",23135106,US0231351067,2000019,"3,380.00",United States,NASDAQ,USD,1,USD,-
TSLA,TESLA INC,Consumer Discretionary,Equity,"4,921,922,901.42",2.05,"4,921,922,901.42","5,639,298.00",88160R101,US88160R1014,B616C79,872.79,United States,NASDAQ,USD,1,USD,-
FB,FACEBOOK CLASS A INC,Communication,Equity,"4,774,751,277.56",1.98,"4,774,751,277.56","17,877,607.00",30303M102,US30303M1027,B7TL820,267.08,United States,NASDAQ,USD,1,USD,-
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"4,290,691,731.20",1.78,"4,290,691,731.20","2,235,760.00",02079K305,US02079K3059,BYVY8G0,"1,919.12",United States,NASDAQ,USD,1,USD,-
GOOG,ALPHABET INC CLASS C,Communication,Equity,"4,161,729,246.22",1.73,"4,161,729,246.22","2,159,122.00",02079K107,US02079K1079,BYY88Y7,"1,927.51",United States,NASDAQ,USD,1,USD,-
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"3,361,161,910.80",1.4,"3,361,161,910.80","14,472,795.00",84670702,US0846707026,2073390,232.24,United States,New York Stock Exchange Inc.,USD,1,USD,-
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"3,157,678,931.25",1.31,"3,157,678,931.25","19,582,505.00",478160104,US4781601046,2475833,161.25,United States,New York Stock Exchange Inc.,USD,1,USD,-
JPM,JPMORGAN CHASE & CO,Financials,Equity,"3,028,718,644.33",1.26,"3,028,718,644.33","22,668,353.00",46625H100,US46625H1005,2190385,133.61,United States,New York Stock Exchange Inc.,USD,1,USD,-
V,VISA INC CLASS A,Information Technology,Equity,"2,555,678,776.24",1.06,"2,555,678,776.24","12,613,784.00",92826C839,US92826C8394,B2PZN04,202.61,United States,New York Stock Exchange Inc.,USD,1,USD,-
NVDA,NVIDIA CORP,Information Technology,Equity,"2,497,068,755.88",1.04,"2,497,068,755.88","4,604,844.00",67066G104,US67066G1040,2379504,542.27,United States,NASDAQ,USD,1,USD,-
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"2,390,063,870.08",0.99,"2,390,063,870.08","7,056,164.00",91324P102,US91324P1021,2917766,338.72,United States,New York Stock Exchange Inc.,USD,1,USD,-
DIS,WALT DISNEY,Communication,Equity,"2,383,354,438.08",0.99,"2,383,354,438.08","13,468,323.00",254687106,US2546871060,2270726,176.96,United States,New York Stock Exchange Inc.,USD,1,USD,-
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"2,374,891,721.28",0.99,"2,374,891,721.28","18,440,032.00",742718109,US7427181091,2704407,128.79,United States,New York Stock Exchange Inc.,USD,1,USD,-
MA,MASTERCARD INC CLASS A,Information Technology,Equity,"2,187,515,079.63",0.91,"2,187,515,079.63","6,542,199.00",57636Q104,US57636Q1040,B121557,334.37,United States,New York Stock Exchange Inc.,USD,1,USD,-
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"2,179,795,302.72",0.91,"2,179,795,302.72","8,009,242.00",437076102,US4370761029,2434209,272.16,United States,New York Stock Exchange Inc.,USD,1,USD,-
PYPL,PAYPAL HOLDINGS INC,Information Technology,Equity,"2,170,544,806.80",0.9,"2,170,544,806.80","8,713,548.00",70450Y103,US70450Y1038,BYW36M8,249.1,United States,NASDAQ,USD,1,USD,-
NFLX,NETFLIX INC,Communication,Equity,"1,801,708,732.80",0.75,"1,801,708,732.80","3,286,830.00",64110L106,US64110L1061,2857817,548.16,United States,NASDAQ,USD,1,USD,-
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"1,768,450,566.00",0.73,"1,768,450,566.00","30,490,527.00",458140100,US4581401001,2463247,58,United States,NASDAQ,USD,1,USD,-
BAC,BANK OF AMERICA CORP,Financials,Equity,"1,757,540,472.23",0.73,"1,757,540,472.23","56,640,041.00",60505104,US0605051046,2295677,31.03,United States,New York Stock Exchange Inc.,USD,1,USD,-
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"1,737,819,305.46",0.72,"1,737,819,305.46","33,955,047.00",20030N101,US20030N1019,2044545,51.18,United States,NASDAQ,USD,1,USD,-
ADBE,ADOBE INC,Information Technology,Equity,"1,730,752,024.68",0.72,"1,730,752,024.68","3,569,076.00",00724F101,US00724F1012,2008154,484.93,United States,NASDAQ,USD,1,USD,-
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"1,677,168,012.50",0.7,"1,677,168,012.50","30,773,725.00",92343V104,US92343V1044,2090571,54.5,United States,New York Stock Exchange Inc.,USD,1,USD,-
CRM,SALESFORCE.COM INC,Information Technology,Equity,"1,593,648,093.20",0.66,"1,593,648,093.20","6,804,646.00",79466L302,US79466L3024,2310525,234.2,United States,New York Stock Exchange Inc.,USD,1,USD,-
ABT,ABBOTT LABORATORIES,Health Care,Equity,"1,584,808,770.96",0.66,"1,584,808,770.96","13,180,379.00",2824100,US0028241000,2002305,120.24,United States,New York Stock Exchange Inc.,USD,1,USD,-
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"1,529,147,562.65",0.64,"1,529,147,562.65","2,949,005.00",883556102,US8835561023,2886907,518.53,United States,New York Stock Exchange Inc.,USD,1,USD,-
T,AT&T INC,Communication,Equity,"1,513,169,109.60",0.63,"1,513,169,109.60","53,019,240.00",00206R102,US00206R1023,2831811,28.54,United States,New York Stock Exchange Inc.,USD,1,USD,-
MRK,MERCK & CO INC,Health Care,Equity,"1,463,243,094.39",0.61,"1,463,243,094.39","18,815,007.00",58933Y105,US58933Y1055,2778844,77.77,United States,New York Stock Exchange Inc.,USD,1,USD,-
WMT,WALMART INC,Consumer Staples,Equity,"1,452,049,870.04",0.6,"1,452,049,870.04","10,315,052.00",931142103,US9311421039,2936921,140.77,United States,New York Stock Exchange Inc.,USD,1,USD,-
