gvkey,fyear,datadate,at,isin,conm,fic,sic
001166,2019,20191231,2175.1390,NL0000334118,ASM INTERNATIONAL NV,NLD,3559
002410,2019,20191231,295194.0000,GB0007980591,BP PLC,GBR,2911
002411,2019,20200331,53067.0000,GB0030913577,BT GROUP PLC,GBR,4813
002721,2019,20191231,4768351.0000,JP3242800005,CANON INC,JPN,3577
004439,2019,20191231,276383.0000,SE0000108656,TELEFONAKTIEBOLAGET LM ERICS,SWE,3663
004925,2019,20200331,3321692.0000,JP3814000000,FUJIFILM HLDGS CORP,JPN,3861
005180,2019,20191231,79692.0000,GB0009252882,GLAXOSMITHKLINE PLC,GBR,2834
005650,2019,20200331,9930081.0000,JP3788600009,HITACHI LTD,JPN,3570
005691,2019,20200331,20461465.0000,JP3854600008,HONDA MOTOR CO LTD,JPN,3711
006494,2019,20200331,3653686.0000,JP3304200003,KOMATSU LTD,JPN,3531
006506,2019,20191231,3139318.0000,JP3266400005,KUBOTA CORP,JPN,3523
006512,2019,20200331,3250175.0000,JP3249600002,KYOCERA CORP,JPN,3674
006972,2019,20200331,674564.0000,JP3862400003,MAKITA CORP,JPN,3540
007114,2019,20200331,6218518.0000,JP3866800000,PANASONIC CORP,JPN,3600
007471,2019,20200331,11806292.0000,JP3893600001,MITSUI & CO LTD,JPN,5000
007652,2019,20200331,3123254.0000,JP3733000008,NEC CORP,JPN,7373
007908,2019,20200331,23014133.0000,JP3735400008,NIPPON TELEGRAPH & TELEPHONE,JPN,4813
008544,2019,20191231,525027.0000,PHY7072Q1032,PLDT INC,PHL,4812
009135,2019,20200331,2867645.0000,JP3973400009,RICOH CO LTD,JPN,3577
009818,2019,20200331,23039343.0000,JP3435000009,SONY GROUP CORPORATION,JPN,3600
010275,2019,20200331,1943379.0000,JP3538800008,TDK CORP,JPN,3670
010622,2019,20200331,3383433.0000,JP3592200004,TOSHIBA CORP,JPN,3600
010846,2019,20191231,64806.0000,GB00B10RZP78,UNILEVER PLC,GBR,2840
011217,2019,20191231,524837.0000,SE0000115446,VOLVO AB,SWE,3711
011749,2019,20191231,94108.0000,SE0000108227,SKF AB,SWE,3562
012368,2019,20191231,99065.0000,SE0000112724,SCA-SVENSKA CELLULOSA AB,SWE,2400
012383,2019,20191231,164401.0000,NO0005052605,NORSK HYDRO ASA,NOR,3350
012384,2019,20191231,404336.0000,GB00B03MLX29,ROYAL DUTCH SHELL PLC,GBR,2911
012673,2019,20191231,1140229.0000,GB0031348658,BARCLAYS PLC,GBR,6020
013145,2019,20191231,35661.0000,ES0177542018,INTL CONSOL AIRLINES GROUP,ESP,4512
013312,2019,20190630,100861.0000,AU000000BHP4,BHP GROUP LTD,AUS,1000
013683,2019,20191231,118877.0000,ES0178430E18,TELEFONICA SA,ESP,4812
014140,2019,20191231,1522695.0000,ES0113900J37,BANCO SANTANDER SA,ESP,6020
014620,2019,20191231,106808.0000,SE0000103814,ELECTROLUX AB,SWE,3630
014802,2019,20190930,847124.0000,AU000000NAB4,NATIONAL AUSTRALIA BK,AUS,6020
014894,2019,20200331,168168.0000,GB00BH4HKS39,VODAFONE GROUP PLC,GBR,4812
015181,2019,20191231,698690.0000,ES0113211835,BBVA,ESP,6020
015334,2019,20191231,12984.0000,NL0013267909,AKZO NOBEL NV,NLD,2851
015362,2019,20190930,906626.0000,AU000000WBC1,WESTPAC BANKING,AUS,6020
015444,2019,20191231,37310.0000,IE0001827041,CRH PLC,IRL,3241
015483,2019,20200331,23822099.0000,JP3502200003,DAIWA SECURITIES GROUP INC,JPN,6211
015505,2019,20191231,98562.0000,IE00BF0L3536,AIB GROUP PLC,IRL,6020
015508,2019,20191231,56152.0000,GB00B1XZS820,ANGLO AMERICAN PLC,GBR,1000
015509,2019,20191231,2715152.0000,GB0005405286,HSBC HLDGS PLC,GBR,6020
015532,2019,20191231,2164713.0000,FR0000131104,BNP PARIBAS,FRA,6020
015549,2019,20191231,855647.0000,IT0005239360,UNICREDIT SPA,ITA,6020
015552,2019,20191231,3761050.0000,DK0010274414,DANSKE BANK AS,DNK,6020
015575,2019,20191231,463636.0000,DE000CBK1001,COMMERZBANK,DEU,6020
015576,2019,20191231,1297674.0000,DE0005140008,DEUTSCHE BANK AG,DEU,6020
015602,2019,20200331,14360.0000,GB00BYW0PQ60,LAND SECURITIES GROUP PLC,GBR,6798
015617,2019,20191231,891744.0000,NL0011821202,ING GROEP NV,NLD,6199
015618,2019,20191231,1143349.0000,ZAE000004875,NEDBANK GROUP LTD,ZAF,6020
015625,2019,20200331,5858236.0000,JP3899600005,MITSUBISHI ESTATE CO LTD,JPN,6512
015631,2019,20191231,2920.8000,GB00B1Z4ST84,PROVIDENT FINL GROUP,GBR,6141
015634,2019,20191231,723039.0000,GB00B7T77214,NATWEST GROUP PLC,GBR,6020
015638,2019,20191231,21266.2000,GB0002405495,SCHRODERS PLC,GBR,6282
015644,2019,20191231,10082.7000,GB00B5ZN1N88,SEGRO PLC,GBR,6798
015645,2019,20191231,720398.0000,GB0004082847,STANDARD CHARTERED PLC,GBR,6020
015654,2019,20191231,3069667.0000,SE0007100599,SVENSKA HANDELSBANKEN,SWE,6020
015664,2019,20191231,19962.0000,GB00BKKMKR23,RSA INSURANCE GROUP PLC,GBR,6331
015668,2019,20200331,13067528.0000,JP3200450009,ORIX CORP,JPN,6172
015671,2019,20191231,2856648.0000,SE0000148884,SKANDINAVISKA ENSKILDA BANK,SWE,6020
015677,2019,20191231,287553.0000,DE0008430026,MUNICH RE CO,DEU,6311
015679,2019,20191231,404408.5800,SG1M31001969,UNITED OVERSEAS BANK LTD,SGP,6020
015688,2019,20191231,834413.0150,MYL1155OO000,MALAYAN BANKING BHD,MYS,6020
015696,2019,20200331,2753.3000,GB00BF5H9P87,GREAT PORTLAND ESTATES PLC,GBR,6798
015697,2019,20191231,455245.0000,HK0012000102,HENDERSON LAND DEVELOPMT LTD,HKG,6552
015699,2019,20191231,517456.0000,SE0000107419,INVESTOR AB,SWE,6799
015703,2019,20191231,290735.0000,BE0003565737,KBC GROUP NV,BEL,6020
015749,2019,20191231,97043.0000,HK0014000126,HYSAN DEVELOPMENT CO LTD,HKG,6500
015767,2019,20191231,7315.4000,GB00BK7YQK64,HAMMERSON PLC,GBR,6798
015779,2019,20200331,23196455.0000,JP3890310000,MS&AD INS GROUP HLDGS INC,JPN,6331
015781,2019,20191231,2275589.0000,ZAE000109815,STANDARD BANK GROUP LTD,ZAF,6020
015782,2019,20191231,454214.0000,GB0007099541,PRUDENTIAL PLC,GBR,6311
015805,2019,20191231,1335.1000,CH0102659627,GAM HOLDING LTD,CHE,6200
015833,2019,20191231,1315.7000,GB00B4YZN328,COATS GROUP PLC,GBR,2200
015846,2019,20191231,83732.3450,ES0113679I37,BANKINTER,ESP,6020
015889,2019,20190930,981137.0000,AU000000ANZ3,ANZ-AUSTRALIA & NEW ZEALD BK,AUS,6020
015908,2019,20191231,13890.2830,FR0000121121,EURAZEO,FRA,6799
015911,2019,20191231,7215.3350,FR0000033409,SOCIETE FONCIERE LYONNAISE,FRA,6798
015912,2019,20191231,15867.8000,AU000000GPT8,GPT GROUP,AUS,6798
015922,2019,20191231,50341.6000,SE0000170375,HUFVUDSTADEN AB,SWE,6512
015929,2019,20191231,833893.0000,GB0008706128,LLOYDS BANKING GROUP PLC,GBR,6020
015933,2019,20200331,11977836.0000,JP3165000005,SOMPO HOLDINGS INC,JPN,6331
015936,2019,20191231,24638.0000,FR0000121964,KLEPIERRE SA,FRA,6798
016183,2019,20190630,141778.0000,ZAE000179420,GROWTHPOINT PROPERTIES LTD,ZAF,6798
016189,2019,20190630,18999.0000,AU000000SGP0,STOCKLAND,AUS,6798
016267,2019,20191231,26893.0000,IT0003856405,LEONARDO SPA,ITA,3721
016301,2019,20191231,1564049.0000,JP3582600007,TOKYO TATEMONO CO LTD,JPN,6500
016305,2019,20191231,1399175.0000,ZAE000255915,ABSA GROUP LTD,ZAF,6020
016349,2019,20191231,60995.8000,CH0466642201,HELVETIA HOLDING AG,CHE,6311
016356,2019,20190630,33653.5720,ZAE000190724,HYPROP INVESTMENTS,ZAF,6798
016383,2019,20191231,65003.2000,FR0013326246,UNIBAIL RODAMCO WE,FRA,6798
016398,2019,20191231,4582.3000,FI4000369947,CITYCON OYJ,FIN,6512
016538,2019,20191231,214516.0000,HK0293001514,CATHAY PACIFIC AIRWAYS LTD,HKG,4512
016603,2019,20191231,127940.0000,CH0038863350,NESTLE SA/AG,CHE,2000
016610,2019,20191231,104020.0000,ZAE000013181,ANGLO AMERICAN PLATINUM LTD,ZAF,1090
016621,2019,20191231,242218.0000,HK0004000045,WHARF HOLDINGS LTD (THE),HKG,6500
017315,2019,20190630,37216.0000,ZAE000054045,AFRICAN RAINBOW MINERALS LTD,ZAF,1000
017404,2019,20190831,13760.0000,GB0006731235,ASSOCIATED BRITISH FOODS PLC,GBR,2000
017417,2019,20191231,16974.8000,MYL2771OO003,BOUSTEAD HOLDINGS BHD,MYS,5099
017436,2019,20191231,86950.0000,DE000BASF111,BASF SE,DEU,2800
017452,2019,20191231,45362.0000,FR0000120644,DANONE SA,FRA,2000
017525,2019,20190630,25743.0000,AU000000ORG5,ORIGIN ENERGY LTD,AUS,1400
017544,2019,20200331,2404.5000,AU000000CSR5,CSR LTD,AUS,3272
017703,2019,20200331,334100.0000,JP3209000003,CASIO COMPUTER CO LTD,JPN,3570
017827,2019,20200331,1721724.0000,JP3493800001,DAI NIPPON PRINTING CO LTD,JPN,2750
017828,2019,20191231,302438.0000,DE0007100000,DAIMLER AG,DEU,3711
017830,2019,20200331,4627388.0000,JP3505000004,DAIWA HOUSE INDUSTRY CO,JPN,1520
018466,2019,20200331,3293908.0000,JP3814800003,SUBARU CORP,JPN,3711
018467,2019,20200331,3187445.0000,JP3818000006,FUJITSU LTD,JPN,7373
018636,2019,20190630,31296.0000,GB0002374006,DIAGEO PLC,GBR,2085
018649,2019,20191231,213239.0000,HK0010000088,HANG LUNG GROUP LTD,HKG,6500
018709,2019,20200331,2172108.0000,JP3210200006,KAJIMA CORP,JPN,1600
018715,2019,20191231,1653919.0000,JP3205800000,KAO CORP,JPN,2840
018729,2019,20191231,2412874.0000,JP3258000003,KIRIN HOLDINGS CO LTD,JPN,2082
018860,2019,20200331,10183.9000,GB0031274896,MARKS & SPENCER GROUP PLC,GBR,5311
018931,2019,20200331,2152090.0000,JP3137200006,ISUZU MOTORS LTD,JPN,3711
019002,2019,20200331,864481.0000,JP3906000009,MINEBEA MITSUMI INC,JPN,3562
019043,2019,20200331,4409771.0000,JP3902400005,MITSUBISHI ELECTRIC CORP,JPN,3600
019045,2019,20200331,5132149.0000,JP3897700005,MITSUBISHI CHEMICAL HLDGS CO,JPN,2800
019083,2019,20190630,503284.9000,HK0000608585,NEW WORLD DEVELOPMENT CO LTD,HKG,6500
019112,2019,20200331,5651801.0000,JP3551500006,DENSO CORP,JPN,3714
019113,2019,20200331,16976709.0000,JP3672400003,NISSAN MOTOR CO LTD,JPN,3711
019115,2019,20200331,1029884.0000,JP3720800006,NSK LTD,JPN,3714
019141,2019,20200331,1885280.0000,JP3174410005,OJI HOLDINGS CORP,JPN,2621
019151,2019,20191231,70104.0000,IT0003497168,TELECOM ITALIA SPA,ITA,4813
019157,2019,20200331,758124.0000,JP3197800000,OMRON CORP,JPN,3600
019349,2019,20190930,150248.0000,DE0007236101,SIEMENS AG,DEU,9997
019413,2019,20200331,3084517.0000,JP3407400005,SUMITOMO ELECTRIC INDS LTD,JPN,3357
019421,2019,20190630,751162.0000,HK0016000132,SUN HUNG KAI PROPERTIES LTD,HKG,6500
019457,2019,20200331,343122.0000,JP3452000007,TAIYO YUDEN CO LTD,JPN,3670
019565,2019,20191231,87802.0000,GB0007188757,RIO TINTO GROUP,GBR,1000
019579,2019,20200331,27937.0000,GB00B019KW72,SAINSBURY (J) PLC,GBR,5411
019591,2019,20191231,120423.0000,SE0000667891,SANDVIK AB,SWE,3530
019613,2019,20190630,709.3000,GB00B1L5QH97,RANK GROUP PLC,GBR,7990
019626,2019,20191231,8595.3840,HK0000139300,TELEVISION BROADCASTS LTD,HKG,4833
019646,2019,20200331,2487369.0000,JP3569200003,TOKYU FUDOSAN HOLDINGS CORP,JPN,1520
019656,2019,20200331,583934.0000,JP3596200000,TOTO LTD,JPN,3430
019661,2019,20200331,52680436.0000,JP3633400001,TOYOTA MOTOR CORP,JPN,3711
019741,2019,20200331,1815121.0000,JP3421800008,SECOM CO LTD,JPN,7380
019774,2019,20191231,23252.0000,SG1R50925390,SEMBCORP INDUSTRIES LTD,SGP,3730
019799,2019,20191231,20653.7740,SG1S83002349,UOL GROUP LTD,SGP,7011
019904,2019,20200229,7825.5000,GB00B1KJJ408,WHITBREAD PLC,GBR,5810
020067,2019,20191231,3976.0000,GB00BHJYC057,INTERCONTINENTAL HOTELS GRP,GBR,7011
020145,2019,20200331,794616.0000,JP3827200001,FURUKAWA ELECTRIC CO LTD,JPN,3357
020161,2019,20200331,1032923.0000,JP3449020001,TAIHEIYO CEMENT CORP,JPN,3241
021383,2019,20191231,199980.0000,HK0101000591,HANG LUNG PROPERTIES LTD,HKG,6500
021403,2019,20191231,4692.0000,ES0117160111,CORP FINANCIERA ALBA,ESP,6512
022522,2019,20200331,10470547.0000,JP3769000005,HACHIJUNI BANK,JPN,6020
023087,2019,20191231,87017.8000,CH0012410517,BALOISE HOLDING,CHE,6311
023290,2019,20191231,6590.0000,IL0007460160,STRAUSS GROUP LTD,ISR,2000
023586,2019,20191231,4187.0430,IT0000080447,CIR-COMPAGNIE INDUSTR,ITA,4931
023667,2019,20191231,41490.0000,NL0011794037,KONINKLIJKE AHOLD DELHAIZE,NLD,5411
023681,2019,20190630,503.6660,AU000000SXY7,SENEX ENERGY LTD,AUS,1311
023848,2019,20191231,81643.4080,PTBCP0AM0015,BANCO COMERCIAL PORTUGUES SA,PRT,6020
023917,2019,20191231,3043.1920,NL0000289213,WERELDHAVE NV,NLD,6798
024016,2019,20191231,48311.7890,BMG2108M2182,CHINESE ESTATES HOLDINGS LTD,BMU,6500
024512,2019,20190630,976502.0000,AU000000CBA7,COMMONWEALTH BANK AUSTRALIA,AUS,6020
024578,2019,20191231,2408228.0000,SE0000242455,SWEDBANK AB,SWE,6020
024625,2019,20191231,273294.0000,FR0000120271,TOTAL SE,FRA,2911
024946,2019,20190630,502902.0000,ZAE000269890,MOMENTUM METROPOLITAN HOLDNG,ZAF,6311
