gvkey,datadate,fyear,tic,cusip,conm,at,ni,sale,cik
001075,20051231,2005,PNW,723484101,PINNACLE WEST CAPITAL CORP,11322.6450,176.2670,2987.9550,0000764622
001075,20061231,2006,PNW,723484101,PINNACLE WEST CAPITAL CORP,11455.9430,327.2550,3401.7480,0000764622
001075,20071231,2007,PNW,723484101,PINNACLE WEST CAPITAL CORP,11243.7120,307.1430,3523.6200,0000764622
001075,20081231,2008,PNW,723484101,PINNACLE WEST CAPITAL CORP,11620.0930,242.1250,3367.0760,0000764622
001075,20091231,2009,PNW,723484101,PINNACLE WEST CAPITAL CORP,11808.1550,68.3300,3297.1010,0000764622
001075,20101231,2010,PNW,723484101,PINNACLE WEST CAPITAL CORP,12362.7030,350.0530,3263.6450,0000764622
001075,20111231,2011,PNW,723484101,PINNACLE WEST CAPITAL CORP,13111.0180,339.4730,3241.3790,0000764622
001075,20121231,2012,PNW,723484101,PINNACLE WEST CAPITAL CORP,13379.6150,381.5420,3301.8040,0000764622
001075,20131231,2013,PNW,723484101,PINNACLE WEST CAPITAL CORP,13508.6860,406.0740,3454.6280,0000764622
001075,20141231,2014,PNW,723484101,PINNACLE WEST CAPITAL CORP,14313.5320,397.5950,3491.6320,0000764622
001075,20151231,2015,PNW,723484101,PINNACLE WEST CAPITAL CORP,15028.2580,437.2570,3495.4430,0000764622
001075,20161231,2016,PNW,723484101,PINNACLE WEST CAPITAL CORP,16004.2530,442.0340,3498.6820,0000764622
001075,20171231,2017,PNW,723484101,PINNACLE WEST CAPITAL CORP,17019.0820,488.4560,3565.2960,0000764622
001075,20181231,2018,PNW,723484101,PINNACLE WEST CAPITAL CORP,17664.2020,511.0470,3691.2470,0000764622
001075,20191231,2019,PNW,723484101,PINNACLE WEST CAPITAL CORP,18479.2470,538.3200,3471.2090,0000764622
001380,20051231,2005,HES,42809H107,HESS CORP,19115.0000,1242.0000,22747.0000,0000004447
001380,20061231,2006,HES,42809H107,HESS CORP,22404.0000,1916.0000,28067.0000,0000004447
001380,20071231,2007,HES,42809H107,HESS CORP,26131.0000,1832.0000,31711.0000,0000004447
001380,20081231,2008,HES,42809H107,HESS CORP,28589.0000,2360.0000,41165.0000,0000004447
001380,20091231,2009,HES,42809H107,HESS CORP,29465.0000,740.0000,29614.0000,0000004447
001380,20101231,2010,HES,42809H107,HESS CORP,35396.0000,2125.0000,33862.0000,0000004447
001380,20111231,2011,HES,42809H107,HESS CORP,39136.0000,1703.0000,38466.0000,0000004447
001380,20121231,2012,HES,42809H107,HESS CORP,43441.0000,2025.0000,37691.0000,0000004447
001380,20131231,2013,HES,42809H107,HESS CORP,42754.0000,5052.0000,22284.0000,0000004447
001380,20141231,2014,HES,42809H107,HESS CORP,38578.0000,2317.0000,10737.0000,0000004447
001380,20151231,2015,HES,42809H107,HESS CORP,34195.0000,-3056.0000,6636.0000,0000004447
001380,20161231,2016,HES,42809H107,HESS CORP,28621.0000,-6132.0000,4762.0000,0000004447
001380,20171231,2017,HES,42809H107,HESS CORP,23112.0000,-4074.0000,5466.0000,0000004447
001380,20181231,2018,HES,42809H107,HESS CORP,21433.0000,-282.0000,6323.0000,0000004447
001380,20191231,2019,HES,42809H107,HESS CORP,21782.0000,-408.0000,6495.0000,0000004447
001440,20051231,2005,AEP,025537101,AMERICAN ELECTRIC POWER CO,36172.0000,821.0000,12111.0000,0000004904
001440,20061231,2006,AEP,025537101,AMERICAN ELECTRIC POWER CO,37987.0000,1005.0000,12622.0000,0000004904
001440,20071231,2007,AEP,025537101,AMERICAN ELECTRIC POWER CO,40366.0000,1092.0000,13380.0000,0000004904
001440,20081231,2008,AEP,025537101,AMERICAN ELECTRIC POWER CO,45155.0000,1383.0000,14440.0000,0000004904
001440,20091231,2009,AEP,025537101,AMERICAN ELECTRIC POWER CO,48348.0000,1360.0000,13489.0000,0000004904
001440,20101231,2010,AEP,025537101,AMERICAN ELECTRIC POWER CO,50455.0000,1214.0000,14427.0000,0000004904
001440,20111231,2011,AEP,025537101,AMERICAN ELECTRIC POWER CO,52223.0000,1946.0000,15116.0000,0000004904
001440,20121231,2012,AEP,025537101,AMERICAN ELECTRIC POWER CO,54367.0000,1259.0000,14945.0000,0000004904
001440,20131231,2013,AEP,025537101,AMERICAN ELECTRIC POWER CO,56414.0000,1480.0000,15357.0000,0000004904
001440,20141231,2014,AEP,025537101,AMERICAN ELECTRIC POWER CO,59633.0000,1634.0000,17020.0000,0000004904
001440,20151231,2015,AEP,025537101,AMERICAN ELECTRIC POWER CO,61683.1000,2047.1000,16453.2000,0000004904
001440,20161231,2016,AEP,025537101,AMERICAN ELECTRIC POWER CO,63467.7000,610.9000,16380.1000,0000004904
001440,20171231,2017,AEP,025537101,AMERICAN ELECTRIC POWER CO,64729.1000,1912.6000,15424.9000,0000004904
001440,20181231,2018,AEP,025537101,AMERICAN ELECTRIC POWER CO,68802.8000,1923.8000,16195.7000,0000004904
001440,20191231,2019,AEP,025537101,AMERICAN ELECTRIC POWER CO,75892.3000,1921.1000,15561.4000,0000004904
001678,20051231,2005,APA,037411105,APACHE CORP,19271.7960,2623.7300,7457.2910,0000006769
001678,20061231,2006,APA,037411105,APACHE CORP,24308.1750,2552.4510,8074.2530,0000006769
001678,20071231,2007,APA,037411105,APACHE CORP,28634.6510,2812.3580,9961.9820,0000006769
001678,20081231,2008,APA,037411105,APACHE CORP,29186.4850,711.9540,12327.8390,0000006769
001678,20091231,2009,APA,037411105,APACHE CORP,28185.7430,-284.3980,8573.9270,0000006769
001678,20101231,2010,APA,037411105,APACHE CORP,43425.0000,3032.0000,12183.0000,0000006769
001678,20111231,2011,APA,037411105,APACHE CORP,52051.0000,4584.0000,16810.0000,0000006769
001678,20121231,2012,APA,037411105,APACHE CORP,60737.0000,2001.0000,16947.0000,0000006769
001678,20131231,2013,APA,037411105,APACHE CORP,61637.0000,2232.0000,16402.0000,0000006769
001678,20141231,2014,APA,037411105,APACHE CORP,55952.0000,-5403.0000,13749.0000,0000006769
001678,20151231,2015,APA,037411105,APACHE CORP,18842.0000,-23119.0000,6383.0000,0000006769
001678,20161231,2016,APA,037411105,APACHE CORP,22519.0000,-1405.0000,5367.0000,0000006769
001678,20171231,2017,APA,037411105,APACHE CORP,21922.0000,1304.0000,5752.0000,0000006769
001678,20181231,2018,APA,037411105,APACHE CORP,21582.0000,40.0000,7331.0000,0000006769
001678,20191231,2019,APA,037411105,APACHE CORP,18107.0000,-3553.0000,6280.0000,0000006769
002991,20051231,2005,CVX,166764100,CHEVRON CORP,125833.0000,14099.0000,184922.0000,0000093410
002991,20061231,2006,CVX,166764100,CHEVRON CORP,132628.0000,17138.0000,195341.0000,0000093410
002991,20071231,2007,CVX,166764100,CHEVRON CORP,148786.0000,18688.0000,203970.0000,0000093410
002991,20081231,2008,CVX,166764100,CHEVRON CORP,161165.0000,23931.0000,255112.0000,0000093410
002991,20091231,2009,CVX,166764100,CHEVRON CORP,164621.0000,10483.0000,159293.0000,0000093410
002991,20101231,2010,CVX,166764100,CHEVRON CORP,184769.0000,19024.0000,189607.0000,0000093410
002991,20111231,2011,CVX,166764100,CHEVRON CORP,209474.0000,26895.0000,236286.0000,0000093410
002991,20121231,2012,CVX,166764100,CHEVRON CORP,232982.0000,26179.0000,222580.0000,0000093410
002991,20131231,2013,CVX,166764100,CHEVRON CORP,253753.0000,21423.0000,211664.0000,0000093410
002991,20141231,2014,CVX,166764100,CHEVRON CORP,266026.0000,19241.0000,192308.0000,0000093410
002991,20151231,2015,CVX,166764100,CHEVRON CORP,266103.0000,4587.0000,122566.0000,0000093410
002991,20161231,2016,CVX,166764100,CHEVRON CORP,260078.0000,-497.0000,103310.0000,0000093410
002991,20171231,2017,CVX,166764100,CHEVRON CORP,253806.0000,9195.0000,127485.0000,0000093410
002991,20181231,2018,CVX,166764100,CHEVRON CORP,253863.0000,14824.0000,158902.0000,0000093410
002991,20191231,2019,CVX,166764100,CHEVRON CORP,237428.0000,2924.0000,139865.0000,0000093410
003413,20051231,2005,ED,209115104,CONSOLIDATED EDISON INC,24850.0000,730.0000,11690.0000,0001047862
