,Year,CompanyName,Country,Industry(Exiobase),EnvironmentalIntensity(Sales),Env_intensity,industry_avg,Industry_indicator,Environmental_Growth,Ind_Yearavg
0,2016, 1&1 DRILLISCH AG , Germany , Post and telecommunications (64) ,-0.0007,-0.0007,-0.018382111,1,,-0.01164
1,2016, AFK SISTEMA PAO , Russia , Post and telecommunications (64) ,0.1540,0.154,-0.018382111,1,6.722106722,-0.01164
2,2016, AMERICA MOVIL S.A.B. DE C.V. , Mexico , Post and telecommunications (64) ,-0.0128,-0.0128,-0.018382111,1,13.27433628,-0.01164
3,2016, AT&T INC. , United States , Post and telecommunications (64) ,-0.0170,-0.017,-0.018382111,1,-8.108108108,-0.01164
4,2016, CHORUS LIMITED , New Zealand , Post and telecommunications (64) ,-0.0114,-0.0114,-0.018382111,1,-12.97709924,-0.01164
5,2016, DEUTSCHE TELEKOM AG , Germany , Post and telecommunications (64) ,-0.0122,-0.0122,-0.018382111,1,-4.6875,-0.01164
6,2016, DIGI.COM BERHAD , Malaysia , Post and telecommunications (64) ,-0.0299,-0.0299,-0.018382111,-1,15.89147287,-0.01164
7,2016, FAR EASTONE TELECOMMUNICATIONS COMPANY LIMITED , Taiwan , Post and telecommunications (64) ,-0.0360,-0.036,-0.018382111,-1,15.38461538,-0.01164
8,2016, KT CORPORATION , South Korea , Post and telecommunications (64) ,-0.0180,-0.018,-0.018382111,1,-0.552486188,-0.01164
9,2016, SAFARICOM PLC , Kenya , Post and telecommunications (64) ,-0.0127,-0.0127,-0.018382111,1,-4.511278195,-0.01164
10,2016, SPRINT CORP , United States , Post and telecommunications (64) ,-0.0106,-0.0106,-0.018382111,1,-9.401709402,-0.01164
11,2016, TELEFONICA SA , Spain , Post and telecommunications (64) ,-0.0134,-0.0134,-0.018382111,1,2.290076336,-0.01164
12,2016, VODACOM GROUP , South Africa , Post and telecommunications (64) ,-0.0296,-0.0296,-0.018382111,-1,-17.08683473,-0.01164
13,2016, VODAFONE IDEA LTD , India , Post and telecommunications (64) ,-0.1079,-0.1079,-0.018382111,-1,,-0.01164
14,2016, VODAFONE QATAR PQSC , Qatar , Post and telecommunications (64) ,-0.0164,-0.0164,-0.018382111,1,43.85964912,-0.01164
15,2010, 3I GROUP PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.0012,-0.0012,-0.020071518,1,,-0.006401887
16,2010, ABSA GROUP LTD , South Africa ," Financial intermediation, except insurance and pension funding (65) ",-0.0113,-0.0113,-0.020071518,1,,-0.006401887
17,2010, AMERICAN EXPRESS COMPANY , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.0020,-0.002,-0.020071518,1,,-0.006401887
18,2010, AMERICAN TOWER CORPORATION , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.0226,-0.0226,-0.020071518,-1,,-0.006401887
19,2010, ASHMORE GROUP PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.0011,-0.0011,-0.020071518,1,,-0.006401887
20,2010, AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED , Australia ," Financial intermediation, except insurance and pension funding (65) ",0.0013,0.0013,-0.020071518,1,,-0.006401887
21,2010, BANCO BILBAO VIZCAYA ARGENTARIA SA , Spain ," Financial intermediation, except insurance and pension funding (65) ",-0.0040,-0.004,-0.020071518,1,,-0.006401887
22,2010," BANCO COMERCIAL PORTUGUES, S.A. ", Portugal ," Financial intermediation, except insurance and pension funding (65) ",-0.0050,-0.005,-0.020071518,1,,-0.006401887
23,2010, BANCO SABADELL , Spain ," Financial intermediation, except insurance and pension funding (65) ",-0.0021,-0.0021,-0.020071518,1,,-0.006401887
24,2010, BANCO SANTANDER SA , Spain ," Financial intermediation, except insurance and pension funding (65) ",0.0166,0.0166,-0.020071518,1,,-0.006401887
25,2010, BANK MILLENNIUM SA , Poland ," Financial intermediation, except insurance and pension funding (65) ",-0.0126,-0.0126,-0.020071518,1,,-0.006401887
26,2010, BANK OF AMERICA CORPORATION , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.0050,-0.005,-0.020071518,1,,-0.006401887
27,2010, BANK OF NEW YORK MELLON CORP. , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.0044,-0.0044,-0.020071518,1,,-0.006401887
28,2010, BANK OF THE PHILIPPINE ISLANDS , Philippines ," Financial intermediation, except insurance and pension funding (65) ",-0.0084,-0.0084,-0.020071518,1,,-0.006401887
29,2010," BANKINTER, S.A. ", Spain ," Financial intermediation, except insurance and pension funding (65) ",-0.0009,-0.0009,-0.020071518,1,,-0.006401887
30,2010, BANQUE CANTONALE VAUDOISE , Switzerland ," Financial intermediation, except insurance and pension funding (65) ",-0.0021,-0.0021,-0.020071518,1,,-0.006401887
31,2010, BARCLAYS PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.0004,-0.0004,-0.020071518,1,,-0.006401887
