fyear,Ticker,CompanyName,conml
2010,PNW,PINNACLE WEST CAPITAL CORP,Pinnacle West Capital Corp
2011,PNW,PINNACLE WEST CAPITAL CORP,Pinnacle West Capital Corp
2012,PNW,PINNACLE WEST CAPITAL CORP,Pinnacle West Capital Corp
2013,PNW,PINNACLE WEST CAPITAL CORP,Pinnacle West Capital Corp
2014,PNW,PINNACLE WEST CAPITAL CORP,Pinnacle West Capital Corp
2015,PNW,PINNACLE WEST CAPITAL CORP,Pinnacle West Capital Corp
2016,PNW,PINNACLE WEST CAPITAL CORP,Pinnacle West Capital Corp
2017,PNW,PINNACLE WEST CAPITAL CORP,Pinnacle West Capital Corp
2018,PNW,PINNACLE WEST CAPITAL CORP,Pinnacle West Capital Corp
2019,PNW,PINNACLE WEST CAPITAL CORP,Pinnacle West Capital Corp
2010,HES,HESS CORP,Hess Corp
2011,HES,HESS CORP,Hess Corp
2012,HES,HESS CORP,Hess Corp
2013,HES,HESS CORP,Hess Corp
2014,HES,HESS CORP,Hess Corp
2015,HES,HESS CORP,Hess Corp
2016,HES,HESS CORP,Hess Corp
2017,HES,HESS CORP,Hess Corp
2018,HES,HESS CORP,Hess Corp
2019,HES,HESS CORP,Hess Corp
2010,AEP,AMERICAN ELECTRIC POWER CO,American Electric Power Co Inc
2011,AEP,AMERICAN ELECTRIC POWER CO,American Electric Power Co Inc
2012,AEP,AMERICAN ELECTRIC POWER CO,American Electric Power Co Inc
2013,AEP,AMERICAN ELECTRIC POWER CO,American Electric Power Co Inc
2014,AEP,AMERICAN ELECTRIC POWER CO,American Electric Power Co Inc
2015,AEP,AMERICAN ELECTRIC POWER CO,American Electric Power Co Inc
2016,AEP,AMERICAN ELECTRIC POWER CO,American Electric Power Co Inc
2017,AEP,AMERICAN ELECTRIC POWER CO,American Electric Power Co Inc
2018,AEP,AMERICAN ELECTRIC POWER CO,American Electric Power Co Inc
2019,AEP,AMERICAN ELECTRIC POWER CO,American Electric Power Co Inc
2010,APA,APA CORP,APA Corporation
2011,APA,APA CORP,APA Corporation
2012,APA,APA CORP,APA Corporation
2013,APA,APA CORP,APA Corporation
2014,APA,APA CORP,APA Corporation
2015,APA,APA CORP,APA Corporation
2016,APA,APA CORP,APA Corporation
2017,APA,APA CORP,APA Corporation
2018,APA,APA CORP,APA Corporation
2019,APA,APA CORP,APA Corporation
2010,CVX,CHEVRON CORP,Chevron Corp
