Ticker,Description
AEE,"Ameren Corporation, together with its subsidiaries, operates as a public utility holding company in the United States. It operates through four segments: Ameren Missouri, Ameren Illinois Electric Distribution, Ameren Illinois Natural Gas, and Ameren Transmission. The company engages in the rate-regulated electric generation, transmission, and distribution activities; and rate-regulated natural gas distribution and transmission businesses. It primarily generates electricity through coal, nuclear, and natural gas, as well as renewable sources, such as hydroelectric, wind, methane gas, and solar. The company serves residential, commercial, and industrial customers. The company was founded in 1881 and is headquartered in St. Louis, Missouri."
AEP,"American Electric Power Company, Inc., an electric public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States. It operates through Vertically Integrated Utilities, Transmission and Distribution Utilities, AEP Transmission Holdco, and Generation & Marketing segments. The company generates electricity using coal and lignite, natural gas, nuclear, and hydroelectric, as well as solar, wind, and other energy sources. It also supplies and markets electric power at wholesale to other electric utility companies, rural electric cooperatives, municipalities, and other market participants. The company owns, leases, or controls approximately 3,016 railcars, 411 barges, 6 towboats, and a coal handling terminal with approximately 18 million tons of annual capacity. American Electric Power Company, Inc. was incorporated in 1906 and is headquartered in Columbus, Ohio."
AES,"The AES Corporation operates as a diversified power generation and utility company. It owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries. The company also owns and/or operates utilities to generate or purchase, distribute, transmit, and sell electricity to end-user customers in the residential, commercial, industrial, and governmental sectors; and generates and sells electricity on the wholesale market. It uses a range of fuels and technologies to generate electricity, including natural gas, coal, pet coke, diesel, and oil, as well as renewables, such as hydro, solar, wind, energy storage, biomass, and landfill gas. The company owns and/or operates a generation portfolio of approximately 30,308 megawatts. It has operations in the United States, Puerto Rico, El Salvador, Chile, Colombia, Argentina, Brazil, Mexico, Central America, the Caribbean, Europe, and Asia. The company was formerly known as Applied Energy Services, Inc. and changed its name to The AES Corporation in April 2000. The AES Corporation was incorporated in 1981 and is headquartered in Arlington, Virginia."
APA,"APA Corporation, through its subsidiaries, explores for and produces oil and gas properties. It has operations in the United States, Egypt, and the United Kingdom, as well as has exploration activities offshore Suriname. It also operates gathering, processing, and transmission assets in West Texas, as well as holds ownership in four Permian-to-Gulf Coast pipelines. The company was founded in 1954 and is based in Houston, Texas."
ATO,"Atmos Energy Corporation, together with its subsidiaries, engages in the regulated natural gas distribution, and pipeline and storage businesses in the United States. It operates in two segments, Distribution, and Pipeline and Storage. The Distribution segment is involved in the regulated natural gas distribution and related sales operations in eight states. This segment distributes natural gas to approximately three million residential, commercial, public authority, and industrial customers. As of September 30, 2020, it owned 71,558 miles of underground distribution and transmission mains. The Pipeline and Storage segment engages in the pipeline and storage operations. This segment transports natural gas for third parties and manages five underground storage reservoirs in Texas; and provides ancillary services to the pipeline industry, including parking arrangements, lending, and inventory sales. As of September 30, 2020, it owned 5,684 miles of gas transmission lines. Atmos Energy Corporation was founded in 1906 and is headquartered in Dallas, Texas."
AWK,"American Water Works Company, Inc., through its subsidiaries, provides water and wastewater services in the United States. It offers water and wastewater services to approximately 1,700 communities in 16 states serving approximately 3.5 million active customers. The company serves residential customers; commercial customers, such as food and beverage providers, commercial property developers and proprietors, and energy suppliers; fire service and private fire customers; industrial customers, such as large-scale manufacturers, mining, and production operations; public authorities comprising government buildings and other public sector facilities, such as schools and universities; and other utilities and community water and wastewater systems. It also provides various warranty protection programs to residential customers; and water and wastewater services on various military installations. In addition, the company undertakes contracts with municipal customers, primarily to operate and manage water and wastewater facilities, as well as offers other related services. It operates approximately 79 surface water treatment plants; 530 groundwater treatment plants; 150 wastewater treatment plants; 53,200 miles of transmission, distribution, and collection mains and pipes; 1,100 groundwater wells; 1,600 water and wastewater pumping stations; 1,300 treated water storage facilities; and 75 dams. The company serves approximately 15 million people with drinking water, wastewater, and other water-related services in 46 states. The company was founded in 1886 and is headquartered in Camden, New Jersey."
BKR,"Baker Hughes Company provides a portfolio of technologies and services worldwide. The company operates through four segments: Oilfield Services (OFS), Oilfield Equipment (OFE), Turbomachinery & Process Solutions (TPS), and Digital Solutions (DS). The OFS segment offers exploration, drilling, wireline, evaluation, completion, production, and intervention services; and drilling and completions fluids, completions tools and systems, wellbore intervention tools and services, artificial lift systems, pressure pumping systems, and oilfield and industrial chemicals for oil and natural gas, and oilfield service companies. The OFE segment designs and manufactures products and services, including subsea and surface pressure control and production systems and services, capital drilling equipment and services, and flexible pipe systems for offshore and onshore applications; and provides well intervention solutions, as well as services related to onshore and offshore drilling and production operations. The TPS segment provides equipment and related services for mechanical-drive, compression, and power-generation applications across the oil and gas industry. Its product portfolio includes drivers, compressors, and turnkey solutions; and pumps, valves, and compressed natural gas and small-scale liquefied natural gas solutions. This segment serves upstream, midstream, onshore and offshore, and industrial, as well as engineering, procurement, and construction companies. The DS segment provides sensor-based measurement, non-destructive testing and inspection, turbine, generator and plant controls, and condition monitoring, as well as pipeline integrity solutions for a range of industries, including oil and gas, power generation, aerospace, metals, and transportation. It serves through direct and indirect channels. The company was formerly known as Baker Hughes, a GE company and changed its name to Baker Hughes Company in October 2019. Baker Hughes Company is based in Houston, Texas."
CMS,"CMS Energy Corporation operates as an energy company primarily in Michigan. The company operates through four segments: Electric Utility, Gas Utility, Enterprises, and EnerBank. The Electric Utility segment is involved in the generation, purchase, transmission, distribution, and sale of electricity. This segment generates electricity through coal, wind, gas, renewable energy, oil, and nuclear sources. Its distribution system comprises 205 miles of high-voltage distribution overhead lines; 4 miles of high-voltage distribution underground lines; 4,428 miles of high-voltage distribution overhead lines; 19 miles of high-voltage distribution underground lines; 77,833 miles of electric distribution overhead lines; 9,264 miles of underground distribution lines; 1,096 substations; and 2 battery facilities. The Gas Utility segment engages in the purchase, transmission, storage, distribution, and sale of natural gas, which includes 2,410 miles of transmission lines; 15 gas storage fields; 27,958 miles of distribution mains; and 8 compressor stations. The Enterprises segment is involved in the independent power production and marketing, including the development and operation of renewable generation. It owns interests in independent power plants totalling 1,838 megawatts. The EnterBank segment operates an industrial bank providing unsecured installment loans for financing home improvements. It serves 1.9 million electric and 1.8 million gas customers, including residential, commercial, and diversified industrial customers. CMS Energy Corporation was founded in 1987 and is headquartered in Jackson, Michigan."
CNP,"CenterPoint Energy, Inc. operates as a public utility holding company in the United States. The company operates through Electric, Natural Gas, and Midstream Investments segments. The Electric segment includes electric transmission and distribution services to electric customers and electric generation assets, as well as assets in the wholesale power market. The Natural Gas segment provides natural gas distribution services, as well as home appliance maintenance and repair services to customers in Minnesota; and home repair protection plans to natural gas customers in Texas and Louisiana through a third party. This segment also sells regulated intrastate natural gas, as well as natural gas transportation and storage services for residential, commercial, industrial, and transportation customers. The Midstream Investments segment provides natural gas and crude oil gathering, and natural gas processing services to its producer customers, as well as crude oil, condensate, and produced water gathering services to its producer and refiner customers; and interstate and intrastate natural gas pipeline transportation and storage services to its producer, power plant, local distribution company, and industrial end-user customers. As of December 31, 2020, it served approximately 2.6 million metered customers; owned 239 substation sites with a total installed rated transformer capacity of 69,915 megavolt amperes; operated approximately 99,000 linear miles of natural gas distribution mains, as well as 77,000 linear miles of natural gas transmission mains; and owned and operated 264 miles of intrastate pipeline in Louisiana, Texas, and Oklahoma. CenterPoint Energy, Inc. was founded in 1866 and is headquartered in Houston, Texas."
COG,"Cabot Oil & Gas Corporation, an independent oil and gas company, explores for, exploits, develops, produces, and markets oil and gas properties in the United States. It primarily focuses on the Marcellus Shale with approximately 175,000 net acres in the dry gas window of the play located in Susquehanna County, Pennsylvania. The company sells its natural gas to industrial customers, local distribution companies, gas marketers, and power generation facilities through gathering systems and pipelines. As of December 31, 2020, it had proved reserves of approximately 13,672 billion cubic feet of gas; and 15 thousand barrels of oil or other liquid hydrocarbons. Cabot Oil & Gas Corporation was incorporated in 1989 and is headquartered in Houston, Texas."
