Year,CompanyName,Country,Industry(Exiobase),EnvironmentalIntensity(Sales),Env_intensity,industry_avg,Industry_indicator,industry_avg_year,Industry_indicator_year,Environmental_Growth
2016, 1&1 DRILLISCH AG , Germany , Post and telecommunications (64) ,-0.07%,-0.0007000000000000001,-0.018382111436950142,1,-0.011639999999999996,1,
2010, 3I GROUP PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.12%,-0.0012,-0.0200715181932246,1,-0.006401886792452835,1,
2011, 3I GROUP PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.16%,-0.0016,-0.0200715181932246,1,-0.00983818181818182,1,33.33333333333335
2012, 3I GROUP PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.15%,-0.0015,-0.0200715181932246,1,-0.024436799999999998,1,-6.25
2010, 3M COMPANY , United States , Activities of membership organisation n.e.c. (91) ,-7.90%,-0.079,-0.11756141732283461,1,-0.08458333333333334,1,
2011, 3M COMPANY , United States , Activities of membership organisation n.e.c. (91) ,-7.35%,-0.0735,-0.11756141732283461,1,-0.16999,1,-6.9620253164556996
2012, 3M COMPANY , United States , Activities of membership organisation n.e.c. (91) ,-7.59%,-0.0759,-0.11756141732283461,1,-0.113075,1,3.2653061224489743
2013, 3M COMPANY , United States , Activities of membership organisation n.e.c. (91) ,-8.94%,-0.0894,-0.11756141732283461,1,-0.07441818181818181,-1,17.786561264822144
2014, 3M COMPANY , United States , Activities of membership organisation n.e.c. (91) ,-7.07%,-0.0707,-0.11756141732283461,1,-0.088395,1,-20.917225950782992
2015, 3M COMPANY , United States , Activities of membership organisation n.e.c. (91) ,-6.47%,-0.0647,-0.11756141732283461,1,-0.1584190476190476,1,-8.48656294200849
2013, 888 HOLDINGS PLC , Gibraltar ," Recreational, cultural and sporting activities (92) ",-0.69%,-0.0069,-0.023352631578947368,1,-0.021929166666666666,1,
2015, 888 HOLDINGS PLC , Gibraltar ," Recreational, cultural and sporting activities (92) ",-0.66%,-0.0066,-0.023352631578947368,1,-0.023238709677419356,1,-4.347826086956519
2013, A.G. BARR P.L.C. , United Kingdom , Manufacture of beverages ,-1.11%,-0.0111,-0.04284459459459458,1,-0.05100416666666666,1,
2014, A.G. BARR P.L.C. , United Kingdom , Manufacture of beverages ,-1.12%,-0.011200000000000002,-0.04284459459459458,1,-0.0460409090909091,1,0.9009009009009139
2015, A.G. BARR P.L.C. , United Kingdom , Manufacture of beverages ,-1.19%,-0.011899999999999999,-0.04284459459459458,1,-0.05152857142857144,1,6.249999999999978
2014, A.G.V. PRODUCTS CORP , Taiwan , Processing of Food products nec ,-1.84%,-0.0184,-0.054933454545454535,1,-0.05645925925925926,1,
2015, A.G.V. PRODUCTS CORP , Taiwan , Processing of Food products nec ,-1.96%,-0.0196,-0.054933454545454535,1,-0.07583728813559322,1,6.521739130434789
2016, A.G.V. PRODUCTS CORP , Taiwan , Processing of Food products nec ,-1.70%,-0.017,-0.054933454545454535,1,-0.05425,1,-13.265306122448973
2012, A2A SPA , Italy , Production of electricity nec ,-163.84%,-1.6384,-0.8072188235294113,-1,-0.7672023809523807,-1,
2015, AA PLC , United Kingdom , Other service activities (93) ,-0.92%,-0.0092,-0.051878827361563504,1,-0.030965517241379317,1,
2013, AAC TECHNOLOGIES HOLDINGS INCORPORATION , China , Manufacture of office machinery and computers (30) ,-3.89%,-0.038900000000000004,-0.014735897435897436,-1,-0.016228205128205123,-1,
2014, AAC TECHNOLOGIES HOLDINGS INCORPORATION , China , Manufacture of office machinery and computers (30) ,-3.92%,-0.0392,-0.014735897435897436,-1,-0.02130227272727273,-1,0.7712082262210762
2015, AAC TECHNOLOGIES HOLDINGS INCORPORATION , China , Manufacture of office machinery and computers (30) ,-4.19%,-0.04190000000000001,-0.014735897435897436,-1,-0.014506666666666668,-1,6.887755102040827
2012, AAREAL BANK AG , Germany ," Financial intermediation, except insurance and pension funding (65) ",-0.10%,-0.001,-0.0200715181932246,1,-0.024436799999999998,1,
2013, AAREAL BANK AG , Germany ," Financial intermediation, except insurance and pension funding (65) ",-0.11%,-0.0011,-0.0200715181932246,1,-0.025626760563380282,1,10.000000000000009
