,Year,CompanyName,Country,Industry(Exiobase),EnvironmentalIntensity(Sales),Env_intensity,industry_avg,Industry_indicator,Environmental_Growth,Ind_Yearavg
0,2016, 1&1 DRILLISCH AG , Germany , Post and telecommunications (64) ,-0.07%,-0.0007000000000000001,-0.018382111436950142,1,,-0.011640000000000003
1,2016, AFK SISTEMA PAO , Russia , Post and telecommunications (64) ,15.40%,0.154,-0.018382111436950142,1,6.722106722106735,-0.011640000000000003
2,2016, AMERICA MOVIL S.A.B. DE C.V. , Mexico , Post and telecommunications (64) ,-1.28%,-0.0128,-0.018382111436950142,1,13.274336283185859,-0.011640000000000003
3,2016, AT&T INC. , United States , Post and telecommunications (64) ,-1.70%,-0.017,-0.018382111436950142,1,-8.108108108108112,-0.011640000000000003
4,2016, CHORUS LIMITED , New Zealand , Post and telecommunications (64) ,-1.14%,-0.0114,-0.018382111436950142,1,-12.977099236641234,-0.011640000000000003
5,2016, DEUTSCHE TELEKOM AG , Germany , Post and telecommunications (64) ,-1.22%,-0.0122,-0.018382111436950142,1,-4.6875000000000115,-0.011640000000000003
6,2016, DIGI.COM BERHAD , Malaysia , Post and telecommunications (64) ,-2.99%,-0.029900000000000006,-0.018382111436950142,-1,15.891472868217061,-0.011640000000000003
7,2016, FAR EASTONE TELECOMMUNICATIONS COMPANY LIMITED , Taiwan , Post and telecommunications (64) ,-3.60%,-0.036000000000000004,-0.018382111436950142,-1,15.384615384615396,-0.011640000000000003
8,2016, KT CORPORATION , South Korea , Post and telecommunications (64) ,-1.80%,-0.018000000000000002,-0.018382111436950142,1,-0.5524861878453025,-0.011640000000000003
9,2016, SAFARICOM PLC , Kenya , Post and telecommunications (64) ,-1.27%,-0.0127,-0.018382111436950142,1,-4.5112781954887335,-0.011640000000000003
10,2016, SPRINT CORP , United States , Post and telecommunications (64) ,-1.06%,-0.0106,-0.018382111436950142,1,-9.401709401709391,-0.011640000000000003
11,2016, TELEFONICA SA , Spain , Post and telecommunications (64) ,-1.34%,-0.0134,-0.018382111436950142,1,2.2900763358778558,-0.011640000000000003
12,2016, VODACOM GROUP , South Africa , Post and telecommunications (64) ,-2.96%,-0.0296,-0.018382111436950142,-1,-17.08683473389354,-0.011640000000000003
13,2016, VODAFONE IDEA LTD , India , Post and telecommunications (64) ,-10.79%,-0.1079,-0.018382111436950142,-1,,-0.011640000000000003
14,2016, VODAFONE QATAR PQSC , Qatar , Post and telecommunications (64) ,-1.64%,-0.016399999999999998,-0.018382111436950142,1,43.85964912280703,-0.011640000000000003
15,2010, 3I GROUP PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.12%,-0.0012,-0.0200715181932246,1,,-0.00640188679245283
16,2010, ABSA GROUP LTD , South Africa ," Financial intermediation, except insurance and pension funding (65) ",-1.13%,-0.0113,-0.0200715181932246,1,,-0.00640188679245283
17,2010, AMERICAN EXPRESS COMPANY , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.20%,-0.002,-0.0200715181932246,1,,-0.00640188679245283
18,2010, AMERICAN TOWER CORPORATION , United States ," Financial intermediation, except insurance and pension funding (65) ",-2.26%,-0.0226,-0.0200715181932246,-1,,-0.00640188679245283
19,2010, ASHMORE GROUP PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.11%,-0.0011,-0.0200715181932246,1,,-0.00640188679245283
20,2010, AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED , Australia ," Financial intermediation, except insurance and pension funding (65) ",0.13%,0.0013,-0.0200715181932246,1,,-0.00640188679245283
21,2010, BANCO BILBAO VIZCAYA ARGENTARIA SA , Spain ," Financial intermediation, except insurance and pension funding (65) ",-0.40%,-0.004,-0.0200715181932246,1,,-0.00640188679245283
22,2010," BANCO COMERCIAL PORTUGUES, S.A. ", Portugal ," Financial intermediation, except insurance and pension funding (65) ",-0.50%,-0.005,-0.0200715181932246,1,,-0.00640188679245283
23,2010, BANCO SABADELL , Spain ," Financial intermediation, except insurance and pension funding (65) ",-0.21%,-0.0021,-0.0200715181932246,1,,-0.00640188679245283
24,2010, BANCO SANTANDER SA , Spain ," Financial intermediation, except insurance and pension funding (65) ",1.66%,0.0166,-0.0200715181932246,1,,-0.00640188679245283
25,2010, BANK MILLENNIUM SA , Poland ," Financial intermediation, except insurance and pension funding (65) ",-1.26%,-0.0126,-0.0200715181932246,1,,-0.00640188679245283
26,2010, BANK OF AMERICA CORPORATION , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.50%,-0.005,-0.0200715181932246,1,,-0.00640188679245283
27,2010, BANK OF NEW YORK MELLON CORP. , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.44%,-0.0044,-0.0200715181932246,1,,-0.00640188679245283
28,2010, BANK OF THE PHILIPPINE ISLANDS , Philippines ," Financial intermediation, except insurance and pension funding (65) ",-0.84%,-0.0084,-0.0200715181932246,1,,-0.00640188679245283
29,2010," BANKINTER, S.A. ", Spain ," Financial intermediation, except insurance and pension funding (65) ",-0.09%,-0.0009,-0.0200715181932246,1,,-0.00640188679245283
30,2010, BANQUE CANTONALE VAUDOISE , Switzerland ," Financial intermediation, except insurance and pension funding (65) ",-0.21%,-0.0021,-0.0200715181932246,1,,-0.00640188679245283
31,2010, BARCLAYS PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.04%,-0.0004,-0.0200715181932246,1,,-0.00640188679245283
32,2010, BEFIMMO SCA , Belgium ," Financial intermediation, except insurance and pension funding (65) ",-1.32%,-0.0132,-0.0200715181932246,1,,-0.00640188679245283
33,2010, BIG YELLOW GROUP PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-2.50%,-0.025,-0.0200715181932246,-1,,-0.00640188679245283
34,2010, BNP PARIBAS SA , France ," Financial intermediation, except insurance and pension funding (65) ",1.49%,0.0149,-0.0200715181932246,1,,-0.00640188679245283
35,2010, BOARDWALK REAL ESTATE INVESTMENT TRUST , Canada ," Financial intermediation, except insurance and pension funding (65) ",-15.08%,-0.1508,-0.0200715181932246,-1,,-0.00640188679245283
36,2010," BOSTON PROPERTIES, INC. ", United States ," Financial intermediation, except insurance and pension funding (65) ",-11.33%,-0.1133,-0.0200715181932246,-1,,-0.00640188679245283
37,2010, BRITISH LAND COMPANY PLC (THE) , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.70%,-0.006999999999999999,-0.0200715181932246,1,,-0.00640188679245283
38,2010, BROOKFIELD ASSET MANAGEMENT INCORPORATED , Canada ," Financial intermediation, except insurance and pension funding (65) ",-1.46%,-0.0146,-0.0200715181932246,1,,-0.00640188679245283
39,2010," CAIXABANK, S.A. ", Spain ," Financial intermediation, except insurance and pension funding (65) ",-0.09%,-0.0009,-0.0200715181932246,1,,-0.00640188679245283
40,2010, CAPITAL ONE FINANCIAL CORPORATION , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.31%,-0.0031,-0.0200715181932246,1,,-0.00640188679245283
41,2010, CAPITAMALL TRUST , Singapore ," Financial intermediation, except insurance and pension funding (65) ",-5.04%,-0.0504,-0.0200715181932246,-1,,-0.00640188679245283
42,2010, CHARTER HALL GROUP , Australia ," Financial intermediation, except insurance and pension funding (65) ",-17.35%,-0.17350000000000002,-0.0200715181932246,-1,,-0.00640188679245283
43,2010, CHARTER HALL RETAIL REIT , Australia ," Financial intermediation, except insurance and pension funding (65) ",-2.35%,-0.0235,-0.0200715181932246,-1,,-0.00640188679245283
44,2010, CITIGROUP INC. , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.28%,-0.0028000000000000004,-0.0200715181932246,1,,-0.00640188679245283
45,2010, COFINIMMO S.A. , Belgium ," Financial intermediation, except insurance and pension funding (65) ",-4.77%,-0.047699999999999985,-0.0200715181932246,-1,,-0.00640188679245283
46,2010, COMERICA INCORPORATED , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.83%,-0.0083,-0.0200715181932246,1,,-0.00640188679245283
47,2010, COMMONWEALTH BANK OF AUSTRALIA , Australia ," Financial intermediation, except insurance and pension funding (65) ",-0.09%,-0.0009,-0.0200715181932246,1,,-0.00640188679245283
48,2010, CREDIT SUISSE GROUP AG , Switzerland ," Financial intermediation, except insurance and pension funding (65) ",0.09%,0.0009,-0.0200715181932246,1,,-0.00640188679245283
49,2010, DAIWA SECURITIES GROUP INCORPORATED , Japan ," Financial intermediation, except insurance and pension funding (65) ",-0.27%,-0.0027,-0.0200715181932246,1,,-0.00640188679245283
50,2010, DANSKE BANK AS , Denmark ," Financial intermediation, except insurance and pension funding (65) ",0.20%,0.002,-0.0200715181932246,1,,-0.00640188679245283
51,2010, DERWENT LONDON PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-1.65%,-0.0165,-0.0200715181932246,1,,-0.00640188679245283
52,2010, DEXUS , Australia ," Financial intermediation, except insurance and pension funding (65) ",-7.53%,-0.0753,-0.0200715181932246,-1,,-0.00640188679245283
53,2010, FIFTH THIRD BANCORP , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.60%,-0.006,-0.0200715181932246,1,,-0.00640188679245283
54,2010, FIRSTRAND LIMITED , South Africa ," Financial intermediation, except insurance and pension funding (65) ",-1.13%,-0.0113,-0.0200715181932246,1,,-0.00640188679245283
55,2010, FRANKLIN RESOURCES INCORPORATED , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.18%,-0.0018,-0.0200715181932246,1,,-0.00640188679245283
56,2010, GECINA , France ," Financial intermediation, except insurance and pension funding (65) ",-1.68%,-0.0168,-0.0200715181932246,1,,-0.00640188679245283
57,2010, GOLDMAN SACHS GROUP INC , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.22%,-0.0022,-0.0200715181932246,1,,-0.00640188679245283
58,2010, GPT GROUP , Australia ," Financial intermediation, except insurance and pension funding (65) ",-12.82%,-0.1282,-0.0200715181932246,-1,,-0.00640188679245283
59,2010, GREAT PORTLAND ESTATES P.L.C. , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-1.02%,-0.0102,-0.0200715181932246,1,,-0.00640188679245283
60,2010, GROWTHPOINT PROPERTIES LIMITED , South Africa ," Financial intermediation, except insurance and pension funding (65) ",-0.07%,-0.0007000000000000001,-0.0200715181932246,1,,-0.00640188679245283
61,2010, GRUPO FINANCIERO BANORTE S.A.B. DE C.V. , Mexico ," Financial intermediation, except insurance and pension funding (65) ",-0.31%,-0.0031,-0.0200715181932246,1,,-0.00640188679245283
62,2010, HAMMERSON PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-3.19%,-0.0319,-0.0200715181932246,-1,,-0.00640188679245283
63,2010, HANA FINANCIAL GROUP , South Korea ," Financial intermediation, except insurance and pension funding (65) ",-0.13%,-0.0013,-0.0200715181932246,1,,-0.00640188679245283
64,2010," HOST HOTELS & RESORTS, INC. ", United States ," Financial intermediation, except insurance and pension funding (65) ",-4.44%,-0.0444,-0.0200715181932246,-1,,-0.00640188679245283
65,2010, HSBC HOLDINGS PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",0.09%,0.0009,-0.0200715181932246,1,,-0.00640188679245283
66,2010, HUNTINGTON BANCSHARES INCORPORATED , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.87%,-0.0087,-0.0200715181932246,1,,-0.00640188679245283
67,2010, ICICI BANK LIMITED , India ," Financial intermediation, except insurance and pension funding (65) ",-0.12%,-0.0012,-0.0200715181932246,1,,-0.00640188679245283
68,2010, IG GROUP HOLDINGS PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.17%,-0.0017,-0.0200715181932246,1,,-0.00640188679245283
69,2010, INDUSTRIAL BANK OF KOREA , South Korea ," Financial intermediation, except insurance and pension funding (65) ",-0.13%,-0.0013,-0.0200715181932246,1,,-0.00640188679245283
70,2010, INTERNATIONAL PERSONAL FINANCE PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.81%,-0.008100000000000001,-0.0200715181932246,1,,-0.00640188679245283
71,2010, INTU PROPERTIES PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-2.15%,-0.0215,-0.0200715181932246,-1,,-0.00640188679245283
72,2010, INVESTEC LIMITED , South Africa ," Financial intermediation, except insurance and pension funding (65) ",-0.03%,-0.0003,-0.0200715181932246,1,,-0.00640188679245283
73,2010, INVESTEC PLC , South Africa ," Financial intermediation, except insurance and pension funding (65) ",-0.29%,-0.0029,-0.0200715181932246,1,,-0.00640188679245283
74,2010, ITAUSA - INVESTIMENTOS ITAU SA , Brazil ," Financial intermediation, except insurance and pension funding (65) ",-0.69%,-0.0069,-0.0200715181932246,1,,-0.00640188679245283
75,2010, JPMORGAN CHASE & CO. , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.32%,-0.0032,-0.0200715181932246,1,,-0.00640188679245283
76,2010, KB FINANCIAL GROUP INCORPORATION , South Korea ," Financial intermediation, except insurance and pension funding (65) ",-0.26%,-0.0026,-0.0200715181932246,1,,-0.00640188679245283
77,2010, KIWI PROPERTY GROUP LTD , New Zealand ," Financial intermediation, except insurance and pension funding (65) ",-1.00%,-0.01,-0.0200715181932246,1,,-0.00640188679245283
78,2010, KLEPIERRE SA , France ," Financial intermediation, except insurance and pension funding (65) ",-2.16%,-0.0216,-0.0200715181932246,-1,,-0.00640188679245283
79,2010, LAND SECURITIES GROUP PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-2.57%,-0.0257,-0.0200715181932246,-1,,-0.00640188679245283
80,2010, LLOYDS BANKING GROUP PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.12%,-0.0012,-0.0200715181932246,1,,-0.00640188679245283
81,2010, MACERICH CO , United States ," Financial intermediation, except insurance and pension funding (65) ",-22.60%,-0.226,-0.0200715181932246,-1,,-0.00640188679245283
82,2010, MIRAE ASSET DAEWOO CO LTD , South Korea ," Financial intermediation, except insurance and pension funding (65) ",-0.99%,-0.0099,-0.0200715181932246,1,,-0.00640188679245283
83,2010, MIRVAC GROUP , Australia ," Financial intermediation, except insurance and pension funding (65) ",-5.65%,-0.0565,-0.0200715181932246,-1,,-0.00640188679245283
84,2010, MIZUHO FINANCIAL GROUP INC , Japan ," Financial intermediation, except insurance and pension funding (65) ",-0.23%,-0.0023,-0.0200715181932246,1,,-0.00640188679245283
85,2010, MORGAN STANLEY , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.27%,-0.0027,-0.0200715181932246,1,,-0.00640188679245283
86,2010, NATIONAL AUSTRALIA BANK LIMITED , Australia ," Financial intermediation, except insurance and pension funding (65) ",0.07%,0.0007000000000000001,-0.0200715181932246,1,,-0.00640188679245283
87,2010, NEDBANK GROUP LIMITED , South Africa ," Financial intermediation, except insurance and pension funding (65) ",0.95%,0.0095,-0.0200715181932246,1,,-0.00640188679245283
88,2010, NH INVESTMENT & SECURITIES CO LTD , South Korea ," Financial intermediation, except insurance and pension funding (65) ",-0.81%,-0.008100000000000001,-0.0200715181932246,1,,-0.00640188679245283
89,2010, NORTHERN TRUST CORPORATION , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.45%,-0.0045000000000000005,-0.0200715181932246,1,,-0.00640188679245283
90,2010, ORIX CORPORATION , Japan ," Financial intermediation, except insurance and pension funding (65) ",-1.10%,-0.011,-0.0200715181932246,1,,-0.00640188679245283
91,2010, PARAGON BANKING GROUP PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.15%,-0.0015,-0.0200715181932246,1,,-0.00640188679245283
92,2010, PERMANENT TSB GROUP HOLDINGS PLC , Ireland ," Financial intermediation, except insurance and pension funding (65) ",-0.11%,-0.0011,-0.0200715181932246,1,,-0.00640188679245283
93,2010, PNC FINANCIAL SERVICES GROUP INCORPORATED , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.61%,-0.0061,-0.0200715181932246,1,,-0.00640188679245283
94,2010, PROLOGIS INC , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.66%,-0.0066,-0.0200715181932246,1,,-0.00640188679245283
95,2010, PROVIDENT FINANCIAL PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.04%,-0.0004,-0.0200715181932246,1,,-0.00640188679245283
96,2010, RATHBONE BROTHERS PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.28%,-0.0028000000000000004,-0.0200715181932246,1,,-0.00640188679245283
97,2010, RESONA HOLDINGS INC , Japan ," Financial intermediation, except insurance and pension funding (65) ",-0.22%,-0.0022,-0.0200715181932246,1,,-0.00640188679245283
98,2010, ROYAL BANK OF SCOTLAND GROUP PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.33%,-0.0033,-0.0200715181932246,1,,-0.00640188679245283
99,2010, SAMSUNG SECURITIES CO LTD , South Korea ," Financial intermediation, except insurance and pension funding (65) ",-0.08%,-0.0008,-0.0200715181932246,1,,-0.00640188679245283
100,2010, SCHRODERS PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.09%,-0.0009,-0.0200715181932246,1,,-0.00640188679245283
101,2010, SEGRO PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.89%,-0.0089,-0.0200715181932246,1,,-0.00640188679245283
102,2010, SHAFTESBURY PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.36%,-0.0036,-0.0200715181932246,1,,-0.00640188679245283
103,2010, SHINHAN FINANCIAL GROUP COMPANY LIMITED , South Korea ," Financial intermediation, except insurance and pension funding (65) ",-0.16%,-0.0016,-0.0200715181932246,1,,-0.00640188679245283
104,2010," SIMON PROPERTY GROUP, INC. ", United States ," Financial intermediation, except insurance and pension funding (65) ",-4.80%,-0.048,-0.0200715181932246,-1,,-0.00640188679245283
105,2010, SKANDINAVISKA ENSKILDA BANKEN , Sweden ," Financial intermediation, except insurance and pension funding (65) ",0.06%,0.0006,-0.0200715181932246,1,,-0.00640188679245283
106,2010, STANDARD BANK GROUP LIMITED , South Africa ," Financial intermediation, except insurance and pension funding (65) ",134.88%,1.3488,-0.0200715181932246,1,,-0.00640188679245283
107,2010, STANDARD CHARTERED PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-0.63%,-0.0063,-0.0200715181932246,1,,-0.00640188679245283
108,2010, STATE STREET CORP , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.49%,-0.0049,-0.0200715181932246,1,,-0.00640188679245283
109,2010, STOCKLAND CORPORATION LTD , Australia ," Financial intermediation, except insurance and pension funding (65) ",-7.56%,-0.0756,-0.0200715181932246,-1,,-0.00640188679245283
110,2010, SVENSKA HANDELSBANKEN AB , Sweden ," Financial intermediation, except insurance and pension funding (65) ",-0.02%,-0.0002,-0.0200715181932246,1,,-0.00640188679245283
111,2010, SWEDBANK AB , Sweden ," Financial intermediation, except insurance and pension funding (65) ",-0.13%,-0.0013,-0.0200715181932246,1,,-0.00640188679245283
112,2010, T. ROWE PRICE GROUP INC , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.48%,-0.0048,-0.0200715181932246,1,,-0.00640188679245283
113,2010, U.S. BANCORP , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.63%,-0.0063,-0.0200715181932246,1,,-0.00640188679245283
114,2010, UBS GROUP AG , Switzerland ," Financial intermediation, except insurance and pension funding (65) ",-0.08%,-0.0008,-0.0200715181932246,1,,-0.00640188679245283
115,2010, UNITE GROUP PLC (THE) , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-6.76%,-0.0676,-0.0200715181932246,-1,,-0.00640188679245283
116,2010, WELLS FARGO & COMPANY , United States ," Financial intermediation, except insurance and pension funding (65) ",-0.50%,-0.005,-0.0200715181932246,1,,-0.00640188679245283
117,2010, WESTPAC BANKING CORPORATION , Australia ," Financial intermediation, except insurance and pension funding (65) ",-0.15%,-0.0015,-0.0200715181932246,1,,-0.00640188679245283
118,2010, WEYERHAEUSER CO , United States ," Financial intermediation, except insurance and pension funding (65) ",-17.39%,-0.1739,-0.0200715181932246,-1,,-0.00640188679245283
119,2010, WOORI FINANCIAL GROUP INC , South Korea ," Financial intermediation, except insurance and pension funding (65) ",-0.23%,-0.0023,-0.0200715181932246,1,,-0.00640188679245283
120,2010, WORKSPACE GROUP PLC , United Kingdom ," Financial intermediation, except insurance and pension funding (65) ",-12.81%,-0.1281,-0.0200715181932246,-1,,-0.00640188679245283
