ISIN,CompanyName,Country
GB00BMX64W89,Saga plc,United Kingdom
MYL1818OO003,BURSA MALAYSIA BHD,Malaysia
ZAE000079711,JSE LIMITED,South Africa
GB0007370074,RICARDO PLC,United Kingdom
AU000000ASX7,ASX LIMITED,Australia
MX01BM1B0000,BOLSA MEXICANA DE VALORES SAB DE CV,Mexico
HK0388045442,HONG KONG EXCHANGES AND CLEARING LIMITED,Hong Kong
FR0000074148,ASSYSTEM SA,France
CH0126673539,DKSH HOLDING AG,Switzerland
SE0005999836,AF POYRY AB,Sweden
AT0000908504,VIENNA INSURANCE GROUP,Austria
BRB3SAACNOR6,B3 SA BRASIL BOLSA BALCAO,Brazil
GB0030232317,PAGEGROUP PLC,United Kingdom
GB00B23K0M20,CAPITA PLC,United Kingdom
TRASAHOL91Q5,HACI OMER SABANCI HOLDING A.S.,Turkey
GRS393503008,MYTILINEOS HOLDINGS S.A.,Greece
SG1R50925390,SEMBCORP INDUSTRIES LIMITED,Singapore
TRASISEW91Q3,TURKIYE SISE VE CAM FABRIKALARI A.S.,Turkey
KR7004800009,HYOSUNG CORPORATION,South Korea
PHY0486V1154,AYALA CORPORATION,Philippines
LK0004N00008,AITKEN SPENCE & CO. LTD.,Sri Lanka
PHY0001Z1040,ABOITIZ EQUITY VENTURES INC.,Philippines
ZAE000171963,KAP INDUSTRIAL HOLDINGS LTD,South Africa
MYL2771OO003,Boustead Holdings Berhad,Malaysia
ZAE000003257,HOSKEN CONSOLIDATED INVESTMENTS LIMITED,South Africa
PHY444251177,"JG Summit Holdings, Inc.",Philippines
ZAE000026480,REMGRO LIMITED,South Africa
MX01KU000012,GRUPO KUO SAB DE CV,Mexico
KR7034730002,SK HOLDINGS CO LTD,South Korea
TW0001402006,FAR EASTERN NEW CENTURY CORPORATION,Taiwan
PHY806761029,SM INVESTMENTS CORP,Philippines
QA000A0NCQB1,AAMAL CO QPSC,Qatar
FR0000121121,EURAZEO SE,France
JP3678000005,NISSHINBO HOLDINGS INCORPORATED,Japan
ZAE000057428,REUNERT LTD,South Africa
ES0117160111,"CORPORACION FINANCIERA ALBA, S.A.",Spain
DE0007030009,RHEINMETALL AG,Germany
JP3592200004,TOSHIBA CORPORATION,Japan
KR7000150003,DOOSAN CORP,South Korea
NO0010234552,Aker ASA,Norway
AED000601016,Dubai Investments PJSC,United Arab Emirates
TW0002610003,CHINA AIRLINES LIMITED,Taiwan
IE00BYTBXV33,RYANAIR HOLDINGS PLC,Ireland
HK0293001514,CATHAY PACIFIC AIRWAYS LTD,Hong Kong
JE00BN574F90,WIZZ AIR HOLDINGS PLC,Switzerland
CL0000000423,LATAM AIRLINES GROUP SA,Chile
FR0000031122,AIR FRANCE KLM SA,France
KR7003490000,KOREAN AIR LINES COMPANY LIMITED,South Korea
PHY5369R1078,MacroAsia Corporation,Philippines
GB00BDVZYZ77,ROYAL MAIL PLC,United Kingdom
BMG524181036,KERRY LOGISTICS NETWORK LTD,Hong Kong
PTCTT0AM0001,CTT CORREIOS DE PORTUGAL SA,Portugal
SE0003366871,SAS AB,Sweden
KYG2816P1072,DONGYUE GROUP LIMITED,China
JP3625000009,TOKUYAMA CORPORATION,Japan
TW0003708004,SWANCOR HOLDING CO LTD,Taiwan
ZAE000067120,AFRICAN OXYGEN LTD,South Africa
KYG4402L1510,HENGAN INTERNATIONAL GROUP COMPANY LTD,China
