Ticker,Name,Sector,CUSIP,ISIN,Location,CompanyName,Country
-,IBERDROLA SA,Utilities,-,ES0144583236,Spain,,
1COV,COVESTRO AG,Materials,-,DE0006062144,Germany,COVESTRO AG,Germany
A,AGILENT TECHNOLOGIES INC,Health Care,00846U101,US00846U1016,United States,"AGILENT TECHNOLOGIES, INC.",United States
AAL,AMERICAN AIRLINES GROUP INC,Industrials,02376R102,US02376R1023,United States,AMERICAN AIRLINES GROUP INC,United States
AAL.L,ANGLO AMERICAN PLC,Materials,-,GB00B1XZS820,United Kingdom,ANGLO AMERICAN PLC,United Kingdom
AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,00751Y106,US00751Y1064,United States,"Advance Auto Parts, Inc.",United States
AAPL,APPLE INC,Information Technology,37833100,US0378331005,United States,,
ABBN,ABB LTD,Industrials,S71088991,CH0012221716,Switzerland,ABB LIMITED,Switzerland
ABBV,ABBVIE INC,Health Care,00287Y109,US00287Y1091,United States,ABBVIE INC,United States
ABC,AMERISOURCEBERGEN CORP,Health Care,3.07E+108,US03073E1055,United States,,
ABF,ASSOCIATED BRITISH FOODS PLC,Consumer Staples,S06731236,GB0006731235,United Kingdom,ASSOCIATED BRITISH FOODS PLC,United Kingdom
ABI,ANHEUSER BUSCH INBEV NV,Consumer Staples,-,BE0974293251,Belgium,ANHEUSER BUSCH INBEV NV,Belgium
ABMD,ABIOMED INC,Health Care,3654100,US0036541003,United States,,
ABN,ABN AMRO BANK NV,Financials,-,NL0011540547,Netherlands,,
ABT,ABBOTT LABORATORIES,Health Care,2824100,US0028241000,United States,ABBOTT LABORATORIES,United States
AC,ACCOR SA,Consumer Discretionary,S58528423,FR0000120404,France,ACCOR,France
ACA,CREDIT AGRICOLE SA,Financials,S72626104,FR0000045072,France,,
ACN,ACCENTURE PLC CLASS A,Information Technology,G1151C101,IE00B4BNMY34,United States,ACCENTURE PLC,Ireland
ACS,ACS ACTIVIDADES DE CONSTRUCCION Y,Industrials,-,ES0167050915,Spain,ACS ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA,Spain
ACS.D,ACTIVIDADES DE CONSTRUCCION Y SERV,Industrials,-,ES06670509I0,Spain,,
AD,KONINKLIJKE AHOLD DELHAIZE NV,Consumer Staples,-,NL0011794037,Netherlands,KONINKLIJKE AHOLD DELHAIZE NV,Netherlands
ADBE,ADOBE INC,Information Technology,00724F101,US00724F1012,United States,ADOBE INC,United States
ADEN,ADECCO GROUP AG,Industrials,S71107205,CH0012138605,Switzerland,ADECCO GROUP AG,Switzerland
ADI,ANALOG DEVICES INC,Information Technology,32654105,US0326541051,United States,ANALOG DEVICES INCORPORATED,United States
ADM.L,ADMIRAL GROUP PLC,Financials,-,GB00B02J6398,United Kingdom,ADMIRAL GROUP PLC,United Kingdom
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,39483102,US0394831020,United States,,
ADP,AUTOMATIC DATA PROCESSING INC,Information Technology,53015103,US0530151036,United States,"AUTOMATIC DATA PROCESSING, INC.",United States
ADP.PA,AEROPORTS DE PARIS SA,Industrials,-,FR0010340141,France,AEROPORTS DE PARIS,France
ADS,ADIDAS N AG,Consumer Discretionary,S40319766,DE000A1EWWW0,Germany,,
ADSK,AUTODESK INC,Information Technology,52769106,US0527691069,United States,"AUTODESK, INC.",United States
ADYEN,ADYEN NV,Information Technology,-,NL0012969182,Netherlands,,
AEE,AMEREN CORP,Utilities,23608102,US0236081024,United States,AMEREN CORPORATION,United States
